NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 10, 5, 1, 0.1, 2484
1000000, 10, 5, 1, 0.1, 1041
1000000, 10, 5, 1, 0.1, 1352
1000000, 10, 5, 1, 0.1, 1168
1000000, 10, 5, 1, 0.11, 42696
1000000, 10, 5, 1, 0.11, 46671
1000000, 10, 5, 1, 0.11, 30370
1000000, 10, 5, 1, 0.11, 39717
1000000, 10, 5, 1, 0.11, 39004
1000000, 10, 5, 1, 0.11, 45413
1000000, 10, 5, 1, 0.11, 41290
1000000, 10, 5, 1, 0.11, 44629
1000000, 10, 5, 1, 0.11, 45562
1000000, 10, 5, 1, 0.11, 43145
1000000, 10, 5, 1, 0.11, 1705
1000000, 10, 5, 1, 0.11, 40425
1000000, 10, 5, 1, 0.11, 36353
1000000, 10, 5, 1, 0.11, 45822
1000000, 10, 5, 1, 0.11, 39134
1000000, 10, 5, 1, 0.11, 44414
1000000, 10, 5, 1, 0.11, 46909
1000000, 10, 5, 1, 0.11, 3547
1000000, 10, 5, 1, 0.11, 44394
1000000, 10, 5, 1, 0.11, 45318
1000000, 10, 5, 1, 0.11, 38037
1000000, 10, 5, 1, 0.11, 43953
1000000, 10, 5, 1, 0.11, 39395
1000000, 10, 5, 1, 0.11, 39801
1000000, 10, 5, 1, 0.11, 39541
1000000, 10, 5, 1, 0.11, 45915
1000000, 10, 5, 1, 0.11, 41249
1000000, 10, 5, 1, 0.11, 44803
1000000, 10, 5, 1, 0.11, 38227
1000000, 10, 5, 1, 0.11, 41069
1000000, 10, 5, 1, 0.12, 105015
1000000, 10, 5, 1, 0.12, 108856
1000000, 10, 5, 1, 0.12, 109444
1000000, 10, 5, 1, 0.12, 108713
1000000, 10, 5, 1, 0.12, 107749
1000000, 10, 5, 1, 0.12, 108273
1000000, 10, 5, 1, 0.12, 108123
1000000, 10, 5, 1, 0.12, 107009
1000000, 10, 5, 1, 0.12, 103298
1000000, 10, 5, 1, 0.12, 106933
1000000, 10, 5, 1, 0.12, 108314
1000000, 10, 5, 1, 0.12, 112878
1000000, 10, 5, 1, 0.12, 106782
1000000, 10, 5, 1, 0.12, 106087
1000000, 10, 5, 1, 0.12, 106938
1000000, 10, 5, 1, 0.12, 107197
1000000, 10, 5, 1, 0.12, 109764
1000000, 10, 5, 1, 0.12, 105615
1000000, 10, 5, 1, 0.12, 104280
1000000, 10, 5, 1, 0.12, 108284
1000000, 10, 5, 1, 0.12, 103644
1000000, 10, 5, 1, 0.12, 108898
1000000, 10, 5, 1, 0.12, 104772
1000000, 10, 5, 1, 0.12, 107854
1000000, 10, 5, 1, 0.12, 107065
1000000, 10, 5, 1, 0.12, 102245
1000000, 10, 5, 1, 0.12, 106744
1000000, 10, 5, 1, 0.12, 100054
1000000, 10, 5, 1, 0.12, 103983
1000000, 10, 5, 1, 0.12, 105155
1000000, 10, 5, 1, 0.13, 161344
1000000, 10, 5, 1, 0.13, 162430
1000000, 10, 5, 1, 0.13, 159799
1000000, 10, 5, 1, 0.13, 156585
1000000, 10, 5, 1, 0.13, 159538
1000000, 10, 5, 1, 0.13, 159157
1000000, 10, 5, 1, 0.13, 161039
1000000, 10, 5, 1, 0.13, 161793
1000000, 10, 5, 1, 0.13, 162285
1000000, 10, 5, 1, 0.13, 162023
1000000, 10, 5, 1, 0.13, 162131
1000000, 10, 5, 1, 0.13, 163465
1000000, 10, 5, 1, 0.13, 158055
1000000, 10, 5, 1, 0.13, 162566
1000000, 10, 5, 1, 0.13, 163139
1000000, 10, 5, 1, 0.13, 163718
1000000, 10, 5, 1, 0.13, 162310
1000000, 10, 5, 1, 0.13, 161609
1000000, 10, 5, 1, 0.13, 158437
1000000, 10, 5, 1, 0.13, 163915
1000000, 10, 5, 1, 0.13, 162076
1000000, 10, 5, 1, 0.13, 160386
1000000, 10, 5, 1, 0.13, 160710
1000000, 10, 5, 1, 0.13, 159145
1000000, 10, 5, 1, 0.13, 163312
1000000, 10, 5, 1, 0.13, 162807
1000000, 10, 5, 1, 0.13, 160551
1000000, 10, 5, 1, 0.13, 161769
1000000, 10, 5, 1, 0.13, 158220
1000000, 10, 5, 1, 0.13, 161574
1000000, 10, 5, 1, 0.14, 206178
1000000, 10, 5, 1, 0.14, 207790
1000000, 10, 5, 1, 0.14, 207225
1000000, 10, 5, 1, 0.14, 208840
1000000, 10, 5, 1, 0.14, 207792
1000000, 10, 5, 1, 0.14, 209042
1000000, 10, 5, 1, 0.14, 207230
1000000, 10, 5, 1, 0.14, 209439
1000000, 10, 5, 1, 0.14, 206715
1000000, 10, 5, 1, 0.14, 206177
1000000, 10, 5, 1, 0.14, 206672
1000000, 10, 5, 1, 0.14, 206529
1000000, 10, 5, 1, 0.14, 205679
1000000, 10, 5, 1, 0.14, 207754
1000000, 10, 5, 1, 0.14, 206928
1000000, 10, 5, 1, 0.14, 207003
1000000, 10, 5, 1, 0.14, 207811
1000000, 10, 5, 1, 0.14, 207416
1000000, 10, 5, 1, 0.14, 205847
1000000, 10, 5, 1, 0.14, 210699
1000000, 10, 5, 1, 0.14, 208411
1000000, 10, 5, 1, 0.14, 207737
1000000, 10, 5, 1, 0.14, 204767
1000000, 10, 5, 1, 0.14, 206334
1000000, 10, 5, 1, 0.14, 208334
1000000, 10, 5, 1, 0.14, 204289
1000000, 10, 5, 1, 0.14, 206447
1000000, 10, 5, 1, 0.14, 204083
1000000, 10, 5, 1, 0.14, 207669
1000000, 10, 5, 1, 0.14, 205135
1000000, 10, 5, 1, 0.15, 246848
1000000, 10, 5, 1, 0.15, 243825
1000000, 10, 5, 1, 0.15, 246942
1000000, 10, 5, 1, 0.15, 247536
1000000, 10, 5, 1, 0.15, 247330
1000000, 10, 5, 1, 0.15, 245747
1000000, 10, 5, 1, 0.15, 245264
1000000, 10, 5, 1, 0.15, 245667
1000000, 10, 5, 1, 0.15, 246578
1000000, 10, 5, 1, 0.15, 246269
1000000, 10, 5, 1, 0.15, 246011
1000000, 10, 5, 1, 0.15, 243456
1000000, 10, 5, 1, 0.15, 244624
1000000, 10, 5, 1, 0.15, 244620
1000000, 10, 5, 1, 0.15, 245144
1000000, 10, 5, 1, 0.15, 246126
1000000, 10, 5, 1, 0.15, 245912
1000000, 10, 5, 1, 0.15, 246306
1000000, 10, 5, 1, 0.15, 246731
1000000, 10, 5, 1, 0.15, 248406
1000000, 10, 5, 1, 0.15, 246283
1000000, 10, 5, 1, 0.15, 247420
1000000, 10, 5, 1, 0.15, 245817
1000000, 10, 5, 1, 0.15, 246588
1000000, 10, 5, 1, 0.15, 246893
1000000, 10, 5, 1, 0.15, 245968
1000000, 10, 5, 1, 0.15, 245349
1000000, 10, 5, 1, 0.15, 246620
1000000, 10, 5, 1, 0.15, 247799
1000000, 10, 5, 1, 0.15, 245274
1000000, 10, 5, 1, 0.16, 278469
1000000, 10, 5, 1, 0.16, 277661
1000000, 10, 5, 1, 0.16, 279408
1000000, 10, 5, 1, 0.16, 278508
1000000, 10, 5, 1, 0.16, 279312
1000000, 10, 5, 1, 0.16, 280478
1000000, 10, 5, 1, 0.16, 277542
1000000, 10, 5, 1, 0.16, 278833
1000000, 10, 5, 1, 0.16, 278219
1000000, 10, 5, 1, 0.16, 278063
1000000, 10, 5, 1, 0.16, 279336
1000000, 10, 5, 1, 0.16, 279334
1000000, 10, 5, 1, 0.16, 279439
1000000, 10, 5, 1, 0.16, 278304
1000000, 10, 5, 1, 0.16, 278164
1000000, 10, 5, 1, 0.16, 279082
1000000, 10, 5, 1, 0.16, 278463
1000000, 10, 5, 1, 0.16, 278342
1000000, 10, 5, 1, 0.16, 279434
1000000, 10, 5, 1, 0.16, 279139
1000000, 10, 5, 1, 0.16, 278282
1000000, 10, 5, 1, 0.16, 279391
1000000, 10, 5, 1, 0.16, 278814
1000000, 10, 5, 1, 0.16, 280013
1000000, 10, 5, 1, 0.16, 277855
1000000, 10, 5, 1, 0.16, 278952
1000000, 10, 5, 1, 0.16, 279528
1000000, 10, 5, 1, 0.16, 279440
1000000, 10, 5, 1, 0.16, 278547
1000000, 10, 5, 1, 0.16, 277656
1000000, 10, 5, 1, 0.17, 307426
1000000, 10, 5, 1, 0.17, 305854
1000000, 10, 5, 1, 0.17, 308259
1000000, 10, 5, 1, 0.17, 308791
1000000, 10, 5, 1, 0.17, 305849
1000000, 10, 5, 1, 0.17, 308795
1000000, 10, 5, 1, 0.17, 305327
1000000, 10, 5, 1, 0.17, 308392
1000000, 10, 5, 1, 0.17, 307286
1000000, 10, 5, 1, 0.17, 306999
1000000, 10, 5, 1, 0.17, 307168
1000000, 10, 5, 1, 0.17, 306672
1000000, 10, 5, 1, 0.17, 306369
1000000, 10, 5, 1, 0.17, 306677
1000000, 10, 5, 1, 0.17, 308603
1000000, 10, 5, 1, 0.17, 308043
1000000, 10, 5, 1, 0.17, 307456
1000000, 10, 5, 1, 0.17, 307414
1000000, 10, 5, 1, 0.17, 306490
1000000, 10, 5, 1, 0.17, 305602
1000000, 10, 5, 1, 0.17, 306714
1000000, 10, 5, 1, 0.17, 307227
1000000, 10, 5, 1, 0.17, 307159
1000000, 10, 5, 1, 0.17, 308460
1000000, 10, 5, 1, 0.17, 306278
1000000, 10, 5, 1, 0.17, 307140
1000000, 10, 5, 1, 0.17, 306427
1000000, 10, 5, 1, 0.17, 308026
1000000, 10, 5, 1, 0.17, 306522
1000000, 10, 5, 1, 0.17, 307090
1000000, 10, 5, 1, 0.18, 331485
1000000, 10, 5, 1, 0.18, 332811
1000000, 10, 5, 1, 0.18, 332550
1000000, 10, 5, 1, 0.18, 332431
1000000, 10, 5, 1, 0.18, 331057
1000000, 10, 5, 1, 0.18, 333325
1000000, 10, 5, 1, 0.18, 332119
1000000, 10, 5, 1, 0.18, 331410
1000000, 10, 5, 1, 0.18, 332975
1000000, 10, 5, 1, 0.18, 331561
1000000, 10, 5, 1, 0.18, 331295
1000000, 10, 5, 1, 0.18, 331701
1000000, 10, 5, 1, 0.18, 331125
1000000, 10, 5, 1, 0.18, 331661
1000000, 10, 5, 1, 0.18, 331134
1000000, 10, 5, 1, 0.18, 331570
1000000, 10, 5, 1, 0.18, 331990
1000000, 10, 5, 1, 0.18, 332286
1000000, 10, 5, 1, 0.18, 331161
1000000, 10, 5, 1, 0.18, 331924
1000000, 10, 5, 1, 0.18, 332863
1000000, 10, 5, 1, 0.18, 331076
1000000, 10, 5, 1, 0.18, 331337
1000000, 10, 5, 1, 0.18, 332515
1000000, 10, 5, 1, 0.18, 330931
1000000, 10, 5, 1, 0.18, 330525
1000000, 10, 5, 1, 0.18, 331778
1000000, 10, 5, 1, 0.18, 331265
1000000, 10, 5, 1, 0.18, 331713
1000000, 10, 5, 1, 0.18, 332469
1000000, 10, 5, 1, 0.19, 353815
1000000, 10, 5, 1, 0.19, 353755
1000000, 10, 5, 1, 0.19, 354181
1000000, 10, 5, 1, 0.19, 352522
1000000, 10, 5, 1, 0.19, 354426
1000000, 10, 5, 1, 0.19, 354904
1000000, 10, 5, 1, 0.19, 351756
1000000, 10, 5, 1, 0.19, 354108
1000000, 10, 5, 1, 0.19, 352586
1000000, 10, 5, 1, 0.19, 354020
1000000, 10, 5, 1, 0.19, 354042
1000000, 10, 5, 1, 0.19, 354751
1000000, 10, 5, 1, 0.19, 353096
1000000, 10, 5, 1, 0.19, 353892
1000000, 10, 5, 1, 0.19, 353087
1000000, 10, 5, 1, 0.19, 353067
1000000, 10, 5, 1, 0.19, 353835
1000000, 10, 5, 1, 0.19, 354259
1000000, 10, 5, 1, 0.19, 353477
1000000, 10, 5, 1, 0.19, 353129
1000000, 10, 5, 1, 0.19, 352759
1000000, 10, 5, 1, 0.19, 353264
1000000, 10, 5, 1, 0.19, 353966
1000000, 10, 5, 1, 0.19, 353887
1000000, 10, 5, 1, 0.19, 354046
1000000, 10, 5, 1, 0.19, 353959
1000000, 10, 5, 1, 0.19, 353960
1000000, 10, 5, 1, 0.19, 351770
1000000, 10, 5, 1, 0.19, 353177
1000000, 10, 5, 1, 0.19, 353922
1000000, 10, 5, 1, 0.2, 372441
1000000, 10, 5, 1, 0.2, 371595
1000000, 10, 5, 1, 0.2, 372551
1000000, 10, 5, 1, 0.2, 373482
1000000, 10, 5, 1, 0.2, 372217
1000000, 10, 5, 1, 0.2, 372722
1000000, 10, 5, 1, 0.2, 372499
1000000, 10, 5, 1, 0.2, 372440
1000000, 10, 5, 1, 0.2, 371720
1000000, 10, 5, 1, 0.2, 372562
1000000, 10, 5, 1, 0.2, 371640
1000000, 10, 5, 1, 0.2, 372186
1000000, 10, 5, 1, 0.2, 372023
1000000, 10, 5, 1, 0.2, 373411
1000000, 10, 5, 1, 0.2, 372804
1000000, 10, 5, 1, 0.2, 372488
1000000, 10, 5, 1, 0.2, 372969
1000000, 10, 5, 1, 0.2, 371448
1000000, 10, 5, 1, 0.2, 373526
1000000, 10, 5, 1, 0.2, 372724
1000000, 10, 5, 1, 0.2, 372805
1000000, 10, 5, 1, 0.2, 372973
1000000, 10, 5, 1, 0.2, 371852
1000000, 10, 5, 1, 0.2, 372599
1000000, 10, 5, 1, 0.2, 372792
1000000, 10, 5, 1, 0.2, 373086
1000000, 10, 5, 1, 0.2, 373470
1000000, 10, 5, 1, 0.2, 372891
1000000, 10, 5, 1, 0.2, 372434
1000000, 10, 5, 1, 0.2, 372527
1000000, 10, 5, 1, 0.21, 389166
1000000, 10, 5, 1, 0.21, 387924
1000000, 10, 5, 1, 0.21, 388466
1000000, 10, 5, 1, 0.21, 388960
1000000, 10, 5, 1, 0.21, 389244
1000000, 10, 5, 1, 0.21, 389645
1000000, 10, 5, 1, 0.21, 389715
1000000, 10, 5, 1, 0.21, 388790
1000000, 10, 5, 1, 0.21, 389490
1000000, 10, 5, 1, 0.21, 388963
1000000, 10, 5, 1, 0.21, 388366
1000000, 10, 5, 1, 0.21, 388614
1000000, 10, 5, 1, 0.21, 389690
1000000, 10, 5, 1, 0.21, 388574
1000000, 10, 5, 1, 0.21, 388667
1000000, 10, 5, 1, 0.21, 388248
1000000, 10, 5, 1, 0.21, 389594
1000000, 10, 5, 1, 0.21, 388540
1000000, 10, 5, 1, 0.21, 389803
1000000, 10, 5, 1, 0.21, 388660
1000000, 10, 5, 1, 0.21, 389227
1000000, 10, 5, 1, 0.21, 388862
1000000, 10, 5, 1, 0.21, 388207
1000000, 10, 5, 1, 0.21, 388899
1000000, 10, 5, 1, 0.21, 388709
1000000, 10, 5, 1, 0.21, 388992
1000000, 10, 5, 1, 0.21, 389218
1000000, 10, 5, 1, 0.21, 388551
1000000, 10, 5, 1, 0.21, 389381
1000000, 10, 5, 1, 0.21, 388536
1000000, 10, 5, 1, 0.22, 404089
1000000, 10, 5, 1, 0.22, 404506
1000000, 10, 5, 1, 0.22, 404108
1000000, 10, 5, 1, 0.22, 403209
1000000, 10, 5, 1, 0.22, 403806
1000000, 10, 5, 1, 0.22, 403600
1000000, 10, 5, 1, 0.22, 403439
1000000, 10, 5, 1, 0.22, 403534
1000000, 10, 5, 1, 0.22, 403697
1000000, 10, 5, 1, 0.22, 403662
1000000, 10, 5, 1, 0.22, 403094
1000000, 10, 5, 1, 0.22, 404764
1000000, 10, 5, 1, 0.22, 402908
1000000, 10, 5, 1, 0.22, 403536
1000000, 10, 5, 1, 0.22, 404823
1000000, 10, 5, 1, 0.22, 403434
1000000, 10, 5, 1, 0.22, 403452
1000000, 10, 5, 1, 0.22, 404634
1000000, 10, 5, 1, 0.22, 403313
1000000, 10, 5, 1, 0.22, 403798
1000000, 10, 5, 1, 0.22, 403498
1000000, 10, 5, 1, 0.22, 404140
1000000, 10, 5, 1, 0.22, 404102
1000000, 10, 5, 1, 0.22, 403299
1000000, 10, 5, 1, 0.22, 403291
1000000, 10, 5, 1, 0.22, 404260
1000000, 10, 5, 1, 0.22, 403507
1000000, 10, 5, 1, 0.22, 403631
1000000, 10, 5, 1, 0.22, 402581
1000000, 10, 5, 1, 0.22, 403805
1000000, 10, 5, 1, 0.23, 417366
