NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 50, 26, 1, 0.08, 1962
1000000, 50, 26, 1, 0.08, 2142
1000000, 50, 26, 1, 0.08, 1002
1000000, 50, 26, 1, 0.08, 1100
1000000, 50, 26, 1, 0.08, 1580
1000000, 50, 26, 1, 0.08, 1312
1000000, 50, 26, 1, 0.08, 3139
1000000, 50, 26, 1, 0.08, 1563
1000000, 50, 26, 1, 0.08, 1001
1000000, 50, 26, 1, 0.08, 2577
1000000, 50, 26, 1, 0.08, 1284
1000000, 50, 26, 1, 0.08, 1482
1000000, 50, 26, 1, 0.08, 1141
1000000, 50, 26, 1, 0.08, 1301
1000000, 50, 26, 1, 0.08, 1776
1000000, 50, 26, 1, 0.08, 1408
1000000, 50, 26, 1, 0.08, 1019
1000000, 50, 26, 1, 0.09, 2062
1000000, 50, 26, 1, 0.09, 53307
1000000, 50, 26, 1, 0.09, 1246
1000000, 50, 26, 1, 0.09, 3424
1000000, 50, 26, 1, 0.09, 1115
1000000, 50, 26, 1, 0.09, 1710
1000000, 50, 26, 1, 0.09, 1281
1000000, 50, 26, 1, 0.09, 2800
1000000, 50, 26, 1, 0.09, 13207
1000000, 50, 26, 1, 0.09, 20325
1000000, 50, 26, 1, 0.09, 2016
1000000, 50, 26, 1, 0.09, 8103
1000000, 50, 26, 1, 0.09, 2969
1000000, 50, 26, 1, 0.09, 3952
1000000, 50, 26, 1, 0.09, 1059
1000000, 50, 26, 1, 0.09, 1255
1000000, 50, 26, 1, 0.09, 4087
1000000, 50, 26, 1, 0.09, 3840
1000000, 50, 26, 1, 0.09, 2571
1000000, 50, 26, 1, 0.09, 6551
1000000, 50, 26, 1, 0.09, 19992
1000000, 50, 26, 1, 0.09, 34944
1000000, 50, 26, 1, 0.09, 2986
1000000, 50, 26, 1, 0.09, 20009
1000000, 50, 26, 1, 0.09, 1685
1000000, 50, 26, 1, 0.09, 2770
1000000, 50, 26, 1, 0.09, 7008
1000000, 50, 26, 1, 0.09, 32243
1000000, 50, 26, 1, 0.09, 8675
1000000, 50, 26, 1, 0.09, 1941
1000000, 50, 26, 1, 0.1, 1648
1000000, 50, 26, 1, 0.1, 237820
1000000, 50, 26, 1, 0.1, 1068
1000000, 50, 26, 1, 0.1, 216195
1000000, 50, 26, 1, 0.1, 246546
1000000, 50, 26, 1, 0.1, 246853
1000000, 50, 26, 1, 0.1, 238292
1000000, 50, 26, 1, 0.1, 1635
1000000, 50, 26, 1, 0.1, 219776
1000000, 50, 26, 1, 0.1, 248218
1000000, 50, 26, 1, 0.1, 223661
1000000, 50, 26, 1, 0.1, 4134
1000000, 50, 26, 1, 0.1, 238957
1000000, 50, 26, 1, 0.1, 245187
1000000, 50, 26, 1, 0.1, 234542
1000000, 50, 26, 1, 0.1, 255757
1000000, 50, 26, 1, 0.1, 1447
1000000, 50, 26, 1, 0.1, 239690
1000000, 50, 26, 1, 0.1, 227367
1000000, 50, 26, 1, 0.1, 246194
1000000, 50, 26, 1, 0.1, 230860
1000000, 50, 26, 1, 0.1, 227580
1000000, 50, 26, 1, 0.1, 224220
1000000, 50, 26, 1, 0.1, 251715
1000000, 50, 26, 1, 0.1, 250603
1000000, 50, 26, 1, 0.1, 245728
1000000, 50, 26, 1, 0.1, 226504
1000000, 50, 26, 1, 0.1, 1010
1000000, 50, 26, 1, 0.1, 218020
1000000, 50, 26, 1, 0.1, 249307
1000000, 50, 26, 1, 0.11, 398147
1000000, 50, 26, 1, 0.11, 387182
1000000, 50, 26, 1, 0.11, 403769
1000000, 50, 26, 1, 0.11, 389341
1000000, 50, 26, 1, 0.11, 393229
1000000, 50, 26, 1, 0.11, 378567
1000000, 50, 26, 1, 0.11, 405398
1000000, 50, 26, 1, 0.11, 394402
1000000, 50, 26, 1, 0.11, 386592
1000000, 50, 26, 1, 0.11, 380306
1000000, 50, 26, 1, 0.11, 383262
1000000, 50, 26, 1, 0.11, 403264
1000000, 50, 26, 1, 0.11, 395635
1000000, 50, 26, 1, 0.11, 382413
1000000, 50, 26, 1, 0.11, 402231
1000000, 50, 26, 1, 0.11, 398215
1000000, 50, 26, 1, 0.11, 413355
1000000, 50, 26, 1, 0.11, 383936
1000000, 50, 26, 1, 0.11, 391261
1000000, 50, 26, 1, 0.11, 380629
1000000, 50, 26, 1, 0.11, 400733
1000000, 50, 26, 1, 0.11, 384628
1000000, 50, 26, 1, 0.11, 394574
1000000, 50, 26, 1, 0.11, 381339
1000000, 50, 26, 1, 0.11, 399492
1000000, 50, 26, 1, 0.11, 397433
1000000, 50, 26, 1, 0.11, 392347
1000000, 50, 26, 1, 0.11, 399736
1000000, 50, 26, 1, 0.11, 395300
1000000, 50, 26, 1, 0.11, 401515
1000000, 50, 26, 1, 0.12, 510198
1000000, 50, 26, 1, 0.12, 511756
1000000, 50, 26, 1, 0.12, 500219
1000000, 50, 26, 1, 0.12, 496486
1000000, 50, 26, 1, 0.12, 516772
1000000, 50, 26, 1, 0.12, 494353
1000000, 50, 26, 1, 0.12, 510498
1000000, 50, 26, 1, 0.12, 500101
1000000, 50, 26, 1, 0.12, 496023
1000000, 50, 26, 1, 0.12, 511458
1000000, 50, 26, 1, 0.12, 499786
1000000, 50, 26, 1, 0.12, 511787
1000000, 50, 26, 1, 0.12, 488838
1000000, 50, 26, 1, 0.12, 503881
1000000, 50, 26, 1, 0.12, 513382
1000000, 50, 26, 1, 0.12, 493699
1000000, 50, 26, 1, 0.12, 509051
1000000, 50, 26, 1, 0.12, 509388
1000000, 50, 26, 1, 0.12, 511476
1000000, 50, 26, 1, 0.12, 500736
1000000, 50, 26, 1, 0.12, 503305
1000000, 50, 26, 1, 0.12, 515157
1000000, 50, 26, 1, 0.12, 509703
1000000, 50, 26, 1, 0.12, 486854
1000000, 50, 26, 1, 0.12, 502049
1000000, 50, 26, 1, 0.12, 503640
1000000, 50, 26, 1, 0.12, 503390
1000000, 50, 26, 1, 0.12, 501725
1000000, 50, 26, 1, 0.12, 510698
1000000, 50, 26, 1, 0.12, 500044
1000000, 50, 26, 1, 0.13, 579055
1000000, 50, 26, 1, 0.13, 588188
1000000, 50, 26, 1, 0.13, 586711
1000000, 50, 26, 1, 0.13, 596656
1000000, 50, 26, 1, 0.13, 577358
1000000, 50, 26, 1, 0.13, 574722
1000000, 50, 26, 1, 0.13, 584274
1000000, 50, 26, 1, 0.13, 581975
1000000, 50, 26, 1, 0.13, 583298
1000000, 50, 26, 1, 0.13, 584625
1000000, 50, 26, 1, 0.13, 587472
