NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 50, 26, 1, 100, 175
1000000, 50, 26, 1, 100, 61
1000000, 50, 26, 1, 100, 42
1000000, 50, 26, 1, 100, 90
1000000, 50, 26, 1, 100, 228
1000000, 50, 26, 1, 100, 125
1000000, 50, 26, 1, 100, 86
1000000, 50, 26, 1, 100, 150
1000000, 50, 26, 1, 100, 166
1000000, 50, 26, 1, 100, 163
1000000, 50, 26, 1, 100, 43
1000000, 50, 26, 1, 100, 226
1000000, 50, 26, 1, 100, 60
1000000, 50, 26, 1, 100, 43
1000000, 50, 26, 1, 100, 179
1000000, 50, 26, 1, 100, 269
1000000, 50, 26, 1, 100, 59
1000000, 50, 26, 1, 100, 69
1000000, 50, 26, 1, 100, 32
1000000, 50, 26, 1, 100, 405
1000000, 50, 26, 1, 100, 157
1000000, 50, 26, 1, 100, 1015
1000000, 50, 26, 1, 100, 90
1000000, 50, 26, 1, 100, 65
1000000, 50, 26, 1, 100, 62
1000000, 50, 26, 1, 100, 268
1000000, 50, 26, 1, 100, 93
1000000, 50, 26, 1, 100, 94
1000000, 50, 26, 1, 100, 32
1000000, 50, 26, 1, 100, 90
1000000, 50, 26, 1, 200, 804910
1000000, 50, 26, 1, 200, 805182
1000000, 50, 26, 1, 200, 805771
1000000, 50, 26, 1, 200, 804705
1000000, 50, 26, 1, 200, 805984
1000000, 50, 26, 1, 200, 805113
1000000, 50, 26, 1, 200, 805431
1000000, 50, 26, 1, 200, 804553
1000000, 50, 26, 1, 200, 805140
1000000, 50, 26, 1, 200, 804943
1000000, 50, 26, 1, 200, 805216
1000000, 50, 26, 1, 200, 803240
1000000, 50, 26, 1, 200, 804155
1000000, 50, 26, 1, 200, 805550
1000000, 50, 26, 1, 200, 805830
1000000, 50, 26, 1, 200, 804622
1000000, 50, 26, 1, 200, 804915
1000000, 50, 26, 1, 200, 805474
1000000, 50, 26, 1, 200, 805239
1000000, 50, 26, 1, 200, 804415
1000000, 50, 26, 1, 200, 804583
1000000, 50, 26, 1, 200, 803750
1000000, 50, 26, 1, 200, 804622
1000000, 50, 26, 1, 200, 803652
1000000, 50, 26, 1, 200, 805448
1000000, 50, 26, 1, 200, 805819
1000000, 50, 26, 1, 200, 804757
1000000, 50, 26, 1, 200, 804382
1000000, 50, 26, 1, 200, 803691
1000000, 50, 26, 1, 200, 804382
1000000, 50, 26, 1, 300, 945834
1000000, 50, 26, 1, 300, 946095
1000000, 50, 26, 1, 300, 945886
1000000, 50, 26, 1, 300, 946281
1000000, 50, 26, 1, 300, 945588
1000000, 50, 26, 1, 300, 945917
1000000, 50, 26, 1, 300, 945702
1000000, 50, 26, 1, 300, 945761
1000000, 50, 26, 1, 300, 945984
1000000, 50, 26, 1, 300, 945801
1000000, 50, 26, 1, 300, 945602
1000000, 50, 26, 1, 300, 946335
1000000, 50, 26, 1, 300, 945665
1000000, 50, 26, 1, 300, 945489
1000000, 50, 26, 1, 300, 945769
1000000, 50, 26, 1, 300, 946211
1000000, 50, 26, 1, 300, 945721
1000000, 50, 26, 1, 300, 945964
1000000, 50, 26, 1, 300, 945975
1000000, 50, 26, 1, 300, 946219
1000000, 50, 26, 1, 300, 945523
1000000, 50, 26, 1, 300, 945851
1000000, 50, 26, 1, 300, 946522
1000000, 50, 26, 1, 300, 945501
1000000, 50, 26, 1, 300, 945839
1000000, 50, 26, 1, 300, 945907
1000000, 50, 26, 1, 300, 945404
1000000, 50, 26, 1, 300, 946436
1000000, 50, 26, 1, 300, 945858
1000000, 50, 26, 1, 300, 946044
1000000, 50, 26, 1, 400, 982761
1000000, 50, 26, 1, 400, 982867
1000000, 50, 26, 1, 400, 982725
1000000, 50, 26, 1, 400, 982920
1000000, 50, 26, 1, 400, 982625
1000000, 50, 26, 1, 400, 982455
1000000, 50, 26, 1, 400, 982607
1000000, 50, 26, 1, 400, 982648
1000000, 50, 26, 1, 400, 982592
1000000, 50, 26, 1, 400, 982632
1000000, 50, 26, 1, 400, 982767
1000000, 50, 26, 1, 400, 982544
1000000, 50, 26, 1, 400, 982866
1000000, 50, 26, 1, 400, 982681
1000000, 50, 26, 1, 400, 982649
1000000, 50, 26, 1, 400, 982712
1000000, 50, 26, 1, 400, 982582
1000000, 50, 26, 1, 400, 982599
1000000, 50, 26, 1, 400, 982707
1000000, 50, 26, 1, 400, 982581
1000000, 50, 26, 1, 400, 982462
1000000, 50, 26, 1, 400, 982502
1000000, 50, 26, 1, 400, 982934
1000000, 50, 26, 1, 400, 982616
1000000, 50, 26, 1, 400, 982494
1000000, 50, 26, 1, 400, 982559
1000000, 50, 26, 1, 400, 982592
1000000, 50, 26, 1, 400, 982896
1000000, 50, 26, 1, 400, 982438
1000000, 50, 26, 1, 400, 982867
1000000, 50, 26, 1, 500, 994146
1000000, 50, 26, 1, 500, 994111
1000000, 50, 26, 1, 500, 994032
1000000, 50, 26, 1, 500, 994091
1000000, 50, 26, 1, 500, 994031
1000000, 50, 26, 1, 500, 994040
1000000, 50, 26, 1, 500, 994006
1000000, 50, 26, 1, 500, 994164
1000000, 50, 26, 1, 500, 994124
1000000, 50, 26, 1, 500, 994081
1000000, 50, 26, 1, 500, 994029
1000000, 50, 26, 1, 500, 994070
1000000, 50, 26, 1, 500, 994021
1000000, 50, 26, 1, 500, 994015
1000000, 50, 26, 1, 500, 994240
1000000, 50, 26, 1, 500, 994031
1000000, 50, 26, 1, 500, 994110
1000000, 50, 26, 1, 500, 994073
1000000, 50, 26, 1, 500, 994074
1000000, 50, 26, 1, 500, 994033
1000000, 50, 26, 1, 500, 994045
1000000, 50, 26, 1, 500, 993964
1000000, 50, 26, 1, 500, 994096
1000000, 50, 26, 1, 500, 993975
1000000, 50, 26, 1, 500, 994134
1000000, 50, 26, 1, 500, 994065
1000000, 50, 26, 1, 500, 993993
1000000, 50, 26, 1, 500, 993862
1000000, 50, 26, 1, 500, 993936
1000000, 50, 26, 1, 500, 994154
1000000, 50, 26, 1, 600, 997961
1000000, 50, 26, 1, 600, 997922
1000000, 50, 26, 1, 600, 997802
1000000, 50, 26, 1, 600, 997900
1000000, 50, 26, 1, 600, 997898
1000000, 50, 26, 1, 600, 997924
1000000, 50, 26, 1, 600, 997973
1000000, 50, 26, 1, 600, 997922
1000000, 50, 26, 1, 600, 997940
1000000, 50, 26, 1, 600, 997932
1000000, 50, 26, 1, 600, 997862
1000000, 50, 26, 1, 600, 997944
1000000, 50, 26, 1, 600, 997974
1000000, 50, 26, 1, 600, 997865
1000000, 50, 26, 1, 600, 997943
1000000, 50, 26, 1, 600, 997975
1000000, 50, 26, 1, 600, 997919
1000000, 50, 26, 1, 600, 997902
1000000, 50, 26, 1, 600, 997857
1000000, 50, 26, 1, 600, 997864
1000000, 50, 26, 1, 600, 997893
1000000, 50, 26, 1, 600, 997882
1000000, 50, 26, 1, 600, 997868
1000000, 50, 26, 1, 600, 997868
1000000, 50, 26, 1, 600, 997811
1000000, 50, 26, 1, 600, 997960
1000000, 50, 26, 1, 600, 997907
1000000, 50, 26, 1, 600, 997965
1000000, 50, 26, 1, 600, 997827
1000000, 50, 26, 1, 600, 997899
1000000, 50, 26, 1, 700, 999276
1000000, 50, 26, 1, 700, 999266
1000000, 50, 26, 1, 700, 999278
1000000, 50, 26, 1, 700, 999252
1000000, 50, 26, 1, 700, 999274
1000000, 50, 26, 1, 700, 999240
1000000, 50, 26, 1, 700, 999205
1000000, 50, 26, 1, 700, 999252
1000000, 50, 26, 1, 700, 999236
1000000, 50, 26, 1, 700, 999267
1000000, 50, 26, 1, 700, 999290
1000000, 50, 26, 1, 700, 999257
1000000, 50, 26, 1, 700, 999231
1000000, 50, 26, 1, 700, 999235
1000000, 50, 26, 1, 700, 999266
1000000, 50, 26, 1, 700, 999211
1000000, 50, 26, 1, 700, 999235
1000000, 50, 26, 1, 700, 999274
1000000, 50, 26, 1, 700, 999237
1000000, 50, 26, 1, 700, 999264
1000000, 50, 26, 1, 700, 999265
1000000, 50, 26, 1, 700, 999227
1000000, 50, 26, 1, 700, 999209
1000000, 50, 26, 1, 700, 999250
1000000, 50, 26, 1, 700, 999235
1000000, 50, 26, 1, 700, 999215
1000000, 50, 26, 1, 700, 999291
1000000, 50, 26, 1, 700, 999260
1000000, 50, 26, 1, 700, 999212
1000000, 50, 26, 1, 700, 999250
1000000, 50, 26, 1, 800, 999728
1000000, 50, 26, 1, 800, 999728
1000000, 50, 26, 1, 800, 999704
1000000, 50, 26, 1, 800, 999739
1000000, 50, 26, 1, 800, 999717
1000000, 50, 26, 1, 800, 999706
1000000, 50, 26, 1, 800, 999729
1000000, 50, 26, 1, 800, 999716
1000000, 50, 26, 1, 800, 999727
1000000, 50, 26, 1, 800, 999729
1000000, 50, 26, 1, 800, 999722
