NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 10, 5, 1, 300, 32
1000000, 10, 5, 1, 300, 39
1000000, 10, 5, 1, 300, 130
1000000, 10, 5, 1, 300, 130
1000000, 10, 5, 1, 300, 33
1000000, 10, 5, 1, 300, 58
1000000, 10, 5, 1, 300, 35
1000000, 10, 5, 1, 300, 64
1000000, 10, 5, 1, 300, 57
1000000, 10, 5, 1, 300, 77
1000000, 10, 5, 1, 300, 31
1000000, 10, 5, 1, 300, 44
1000000, 10, 5, 1, 300, 265
1000000, 10, 5, 1, 300, 47
1000000, 10, 5, 1, 300, 54
1000000, 10, 5, 1, 300, 123
1000000, 10, 5, 1, 300, 131
1000000, 10, 5, 1, 300, 52
1000000, 10, 5, 1, 300, 43
1000000, 10, 5, 1, 300, 47
1000000, 10, 5, 1, 300, 88
1000000, 10, 5, 1, 300, 30
1000000, 10, 5, 1, 300, 33
1000000, 10, 5, 1, 300, 73
1000000, 10, 5, 1, 300, 30
1000000, 10, 5, 1, 300, 117
1000000, 10, 5, 1, 300, 42
1000000, 10, 5, 1, 300, 46
1000000, 10, 5, 1, 300, 40
1000000, 10, 5, 1, 300, 51
1000000, 10, 5, 1, 400, 122317
1000000, 10, 5, 1, 400, 121203
1000000, 10, 5, 1, 400, 124087
1000000, 10, 5, 1, 400, 124649
1000000, 10, 5, 1, 400, 123969
1000000, 10, 5, 1, 400, 120346
1000000, 10, 5, 1, 400, 124871
1000000, 10, 5, 1, 400, 70
1000000, 10, 5, 1, 400, 127070
1000000, 10, 5, 1, 400, 124790
1000000, 10, 5, 1, 400, 123045
1000000, 10, 5, 1, 400, 101
1000000, 10, 5, 1, 400, 124685
1000000, 10, 5, 1, 400, 126071
1000000, 10, 5, 1, 400, 121271
1000000, 10, 5, 1, 400, 119287
1000000, 10, 5, 1, 400, 121241
1000000, 10, 5, 1, 400, 122709
1000000, 10, 5, 1, 400, 123683
1000000, 10, 5, 1, 400, 121091
1000000, 10, 5, 1, 400, 120247
1000000, 10, 5, 1, 400, 124438
1000000, 10, 5, 1, 400, 47
1000000, 10, 5, 1, 400, 123920
1000000, 10, 5, 1, 400, 125328
1000000, 10, 5, 1, 400, 386
1000000, 10, 5, 1, 400, 123123
1000000, 10, 5, 1, 400, 123071
1000000, 10, 5, 1, 400, 117563
1000000, 10, 5, 1, 400, 122798
1000000, 10, 5, 1, 500, 304077
1000000, 10, 5, 1, 500, 301904
1000000, 10, 5, 1, 500, 65
1000000, 10, 5, 1, 500, 301508
1000000, 10, 5, 1, 500, 303576
1000000, 10, 5, 1, 500, 302315
1000000, 10, 5, 1, 500, 304561
1000000, 10, 5, 1, 500, 304588
1000000, 10, 5, 1, 500, 302753
1000000, 10, 5, 1, 500, 302454
1000000, 10, 5, 1, 500, 300765
1000000, 10, 5, 1, 500, 300903
1000000, 10, 5, 1, 500, 304812
1000000, 10, 5, 1, 500, 300359
1000000, 10, 5, 1, 500, 300572
1000000, 10, 5, 1, 500, 49
1000000, 10, 5, 1, 500, 301399
1000000, 10, 5, 1, 500, 303484
1000000, 10, 5, 1, 500, 303938
1000000, 10, 5, 1, 500, 300633
1000000, 10, 5, 1, 500, 305230
1000000, 10, 5, 1, 500, 302620
1000000, 10, 5, 1, 500, 304360
1000000, 10, 5, 1, 500, 302747
1000000, 10, 5, 1, 500, 300970
1000000, 10, 5, 1, 500, 301513
1000000, 10, 5, 1, 500, 303201
1000000, 10, 5, 1, 500, 303872
1000000, 10, 5, 1, 500, 301607
1000000, 10, 5, 1, 500, 304343
1000000, 10, 5, 1, 600, 418018
1000000, 10, 5, 1, 600, 416938
1000000, 10, 5, 1, 600, 417632
1000000, 10, 5, 1, 600, 415605
1000000, 10, 5, 1, 600, 417853
1000000, 10, 5, 1, 600, 416210
1000000, 10, 5, 1, 600, 416315
1000000, 10, 5, 1, 600, 415271
1000000, 10, 5, 1, 600, 415900
1000000, 10, 5, 1, 600, 417624
1000000, 10, 5, 1, 600, 416056
1000000, 10, 5, 1, 600, 416727
1000000, 10, 5, 1, 600, 414807
1000000, 10, 5, 1, 600, 416375
1000000, 10, 5, 1, 600, 414882
1000000, 10, 5, 1, 600, 416358
1000000, 10, 5, 1, 600, 414916
1000000, 10, 5, 1, 600, 413849
1000000, 10, 5, 1, 600, 415280
1000000, 10, 5, 1, 600, 416193
1000000, 10, 5, 1, 600, 416086
1000000, 10, 5, 1, 600, 416958
1000000, 10, 5, 1, 600, 415673
1000000, 10, 5, 1, 600, 415545
1000000, 10, 5, 1, 600, 418021
1000000, 10, 5, 1, 600, 417736
1000000, 10, 5, 1, 600, 416848
1000000, 10, 5, 1, 600, 416036
1000000, 10, 5, 1, 600, 416836
1000000, 10, 5, 1, 600, 415143
1000000, 10, 5, 1, 700, 493321
1000000, 10, 5, 1, 700, 495353
1000000, 10, 5, 1, 700, 493142
1000000, 10, 5, 1, 700, 493967
1000000, 10, 5, 1, 700, 493530
1000000, 10, 5, 1, 700, 494390
1000000, 10, 5, 1, 700, 493307
1000000, 10, 5, 1, 700, 493336
1000000, 10, 5, 1, 700, 493271
1000000, 10, 5, 1, 700, 494725
1000000, 10, 5, 1, 700, 493438
1000000, 10, 5, 1, 700, 494177
1000000, 10, 5, 1, 700, 494364
1000000, 10, 5, 1, 700, 493565
1000000, 10, 5, 1, 700, 492243
1000000, 10, 5, 1, 700, 492142
1000000, 10, 5, 1, 700, 494062
1000000, 10, 5, 1, 700, 494616
1000000, 10, 5, 1, 700, 495272
1000000, 10, 5, 1, 700, 493603
1000000, 10, 5, 1, 700, 493641
1000000, 10, 5, 1, 700, 494022
1000000, 10, 5, 1, 700, 492788
1000000, 10, 5, 1, 700, 493556
1000000, 10, 5, 1, 700, 494578
1000000, 10, 5, 1, 700, 493689
1000000, 10, 5, 1, 700, 493223
1000000, 10, 5, 1, 700, 495049
1000000, 10, 5, 1, 700, 494343
1000000, 10, 5, 1, 700, 493192
1000000, 10, 5, 1, 800, 549570
1000000, 10, 5, 1, 800, 549587
1000000, 10, 5, 1, 800, 548860
1000000, 10, 5, 1, 800, 548262
1000000, 10, 5, 1, 800, 548979
1000000, 10, 5, 1, 800, 549054
1000000, 10, 5, 1, 800, 549613
1000000, 10, 5, 1, 800, 550109
1000000, 10, 5, 1, 800, 549046
1000000, 10, 5, 1, 800, 550075
1000000, 10, 5, 1, 800, 548714
1000000, 10, 5, 1, 800, 549766
1000000, 10, 5, 1, 800, 549058
1000000, 10, 5, 1, 800, 549937
1000000, 10, 5, 1, 800, 549588
1000000, 10, 5, 1, 800, 549312
1000000, 10, 5, 1, 800, 549757
1000000, 10, 5, 1, 800, 549373
1000000, 10, 5, 1, 800, 549389
1000000, 10, 5, 1, 800, 550065
1000000, 10, 5, 1, 800, 548948
1000000, 10, 5, 1, 800, 549161
1000000, 10, 5, 1, 800, 549162
1000000, 10, 5, 1, 800, 548915
1000000, 10, 5, 1, 800, 549575
1000000, 10, 5, 1, 800, 549352
1000000, 10, 5, 1, 800, 549768
1000000, 10, 5, 1, 800, 549286
1000000, 10, 5, 1, 800, 549724
1000000, 10, 5, 1, 800, 550278
1000000, 10, 5, 1, 900, 591279
1000000, 10, 5, 1, 900, 590910
1000000, 10, 5, 1, 900, 591245
1000000, 10, 5, 1, 900, 591209
1000000, 10, 5, 1, 900, 590474
1000000, 10, 5, 1, 900, 590662
1000000, 10, 5, 1, 900, 589711
1000000, 10, 5, 1, 900, 591284
1000000, 10, 5, 1, 900, 590683
1000000, 10, 5, 1, 900, 591656
1000000, 10, 5, 1, 900, 590165
1000000, 10, 5, 1, 900, 590770
1000000, 10, 5, 1, 900, 589637
1000000, 10, 5, 1, 900, 590193
1000000, 10, 5, 1, 900, 590907
1000000, 10, 5, 1, 900, 591016
1000000, 10, 5, 1, 900, 590317
1000000, 10, 5, 1, 900, 591895
1000000, 10, 5, 1, 900, 589916
1000000, 10, 5, 1, 900, 589884
1000000, 10, 5, 1, 900, 591242
1000000, 10, 5, 1, 900, 590545
1000000, 10, 5, 1, 900, 590580
1000000, 10, 5, 1, 900, 590613
1000000, 10, 5, 1, 900, 590782
1000000, 10, 5, 1, 900, 591100
