NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 30, 15, 1, 100, 45943
1000000, 30, 15, 1, 100, 45567
1000000, 30, 15, 1, 100, 31
1000000, 30, 15, 1, 100, 37973
1000000, 30, 15, 1, 100, 35333
1000000, 30, 15, 1, 100, 51132
1000000, 30, 15, 1, 100, 94
1000000, 30, 15, 1, 100, 878
1000000, 30, 15, 1, 100, 39839
1000000, 30, 15, 1, 100, 67
1000000, 30, 15, 1, 100, 39609
1000000, 30, 15, 1, 100, 180
1000000, 30, 15, 1, 100, 39761
1000000, 30, 15, 1, 100, 43178
1000000, 30, 15, 1, 100, 83
1000000, 30, 15, 1, 100, 88
1000000, 30, 15, 1, 100, 48506
1000000, 30, 15, 1, 100, 42649
1000000, 30, 15, 1, 100, 48638
1000000, 30, 15, 1, 100, 598
1000000, 30, 15, 1, 100, 119
1000000, 30, 15, 1, 100, 43038
1000000, 30, 15, 1, 100, 3418
1000000, 30, 15, 1, 100, 48825
1000000, 30, 15, 1, 100, 84
1000000, 30, 15, 1, 100, 33
1000000, 30, 15, 1, 100, 41374
1000000, 30, 15, 1, 100, 34
1000000, 30, 15, 1, 100, 46653
1000000, 30, 15, 1, 100, 122
1000000, 30, 15, 1, 200, 454799
1000000, 30, 15, 1, 200, 453665
1000000, 30, 15, 1, 200, 454567
1000000, 30, 15, 1, 200, 453888
1000000, 30, 15, 1, 200, 453544
1000000, 30, 15, 1, 200, 453101
1000000, 30, 15, 1, 200, 453882
1000000, 30, 15, 1, 200, 454939
1000000, 30, 15, 1, 200, 454002
1000000, 30, 15, 1, 200, 452330
1000000, 30, 15, 1, 200, 454848
1000000, 30, 15, 1, 200, 454847
1000000, 30, 15, 1, 200, 453379
1000000, 30, 15, 1, 200, 453603
1000000, 30, 15, 1, 200, 454240
1000000, 30, 15, 1, 200, 453767
1000000, 30, 15, 1, 200, 453720
1000000, 30, 15, 1, 200, 454471
1000000, 30, 15, 1, 200, 454927
1000000, 30, 15, 1, 200, 452720
1000000, 30, 15, 1, 200, 452986
1000000, 30, 15, 1, 200, 454324
1000000, 30, 15, 1, 200, 454083
1000000, 30, 15, 1, 200, 453940
1000000, 30, 15, 1, 200, 454182
1000000, 30, 15, 1, 200, 453490
1000000, 30, 15, 1, 200, 453940
1000000, 30, 15, 1, 200, 455092
1000000, 30, 15, 1, 200, 454774
1000000, 30, 15, 1, 200, 454350
1000000, 30, 15, 1, 300, 575423
1000000, 30, 15, 1, 300, 575158
1000000, 30, 15, 1, 300, 575918
1000000, 30, 15, 1, 300, 575627
1000000, 30, 15, 1, 300, 575618
1000000, 30, 15, 1, 300, 575098
1000000, 30, 15, 1, 300, 574990
1000000, 30, 15, 1, 300, 575046
1000000, 30, 15, 1, 300, 575410
1000000, 30, 15, 1, 300, 575179
1000000, 30, 15, 1, 300, 574794
1000000, 30, 15, 1, 300, 575884
1000000, 30, 15, 1, 300, 575295
1000000, 30, 15, 1, 300, 575251
1000000, 30, 15, 1, 300, 574562
1000000, 30, 15, 1, 300, 574953
1000000, 30, 15, 1, 300, 575250
1000000, 30, 15, 1, 300, 574441
1000000, 30, 15, 1, 300, 574926
1000000, 30, 15, 1, 300, 575734
1000000, 30, 15, 1, 300, 575280
1000000, 30, 15, 1, 300, 575586
1000000, 30, 15, 1, 300, 574835
1000000, 30, 15, 1, 300, 575756
1000000, 30, 15, 1, 300, 575133
1000000, 30, 15, 1, 300, 575146
1000000, 30, 15, 1, 300, 575789
1000000, 30, 15, 1, 300, 575892
1000000, 30, 15, 1, 300, 575861
1000000, 30, 15, 1, 300, 575416
1000000, 30, 15, 1, 400, 627189
1000000, 30, 15, 1, 400, 627542
1000000, 30, 15, 1, 400, 627137
1000000, 30, 15, 1, 400, 627947
1000000, 30, 15, 1, 400, 627674
1000000, 30, 15, 1, 400, 627941
1000000, 30, 15, 1, 400, 627466
1000000, 30, 15, 1, 400, 627572
1000000, 30, 15, 1, 400, 627069
1000000, 30, 15, 1, 400, 627365
1000000, 30, 15, 1, 400, 627375
1000000, 30, 15, 1, 400, 627695
1000000, 30, 15, 1, 400, 627781
1000000, 30, 15, 1, 400, 627501
1000000, 30, 15, 1, 400, 627608
1000000, 30, 15, 1, 400, 628154
