NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 30, 30, 1, 100, 32
1000000, 30, 30, 1, 100, 251761
1000000, 30, 30, 1, 100, 88
1000000, 30, 30, 1, 100, 249279
1000000, 30, 30, 1, 100, 248803
1000000, 30, 30, 1, 100, 250711
1000000, 30, 30, 1, 100, 242700
1000000, 30, 30, 1, 100, 108
1000000, 30, 30, 1, 100, 253045
1000000, 30, 30, 1, 100, 70
1000000, 30, 30, 1, 100, 254860
1000000, 30, 30, 1, 100, 252316
1000000, 30, 30, 1, 100, 246262
1000000, 30, 30, 1, 100, 250834
1000000, 30, 30, 1, 100, 111
1000000, 30, 30, 1, 100, 245309
1000000, 30, 30, 1, 100, 250622
1000000, 30, 30, 1, 100, 243960
1000000, 30, 30, 1, 100, 248607
1000000, 30, 30, 1, 100, 252244
1000000, 30, 30, 1, 100, 252873
1000000, 30, 30, 1, 100, 251485
1000000, 30, 30, 1, 100, 248515
1000000, 30, 30, 1, 100, 31
1000000, 30, 30, 1, 100, 247542
1000000, 30, 30, 1, 100, 248985
1000000, 30, 30, 1, 100, 256467
1000000, 30, 30, 1, 100, 249927
1000000, 30, 30, 1, 100, 252187
1000000, 30, 30, 1, 100, 251170
1000000, 30, 30, 1, 200, 873359
1000000, 30, 30, 1, 200, 873404
1000000, 30, 30, 1, 200, 873431
1000000, 30, 30, 1, 200, 873754
1000000, 30, 30, 1, 200, 874019
1000000, 30, 30, 1, 200, 873564
1000000, 30, 30, 1, 200, 872907
1000000, 30, 30, 1, 200, 873626
1000000, 30, 30, 1, 200, 872997
1000000, 30, 30, 1, 200, 872718
1000000, 30, 30, 1, 200, 873807
1000000, 30, 30, 1, 200, 873381
1000000, 30, 30, 1, 200, 872502
1000000, 30, 30, 1, 200, 873383
1000000, 30, 30, 1, 200, 873121
1000000, 30, 30, 1, 200, 873788
1000000, 30, 30, 1, 200, 872889
1000000, 30, 30, 1, 200, 872491
1000000, 30, 30, 1, 200, 874034
1000000, 30, 30, 1, 200, 873315
1000000, 30, 30, 1, 200, 873870
1000000, 30, 30, 1, 200, 873184
1000000, 30, 30, 1, 200, 873658
1000000, 30, 30, 1, 200, 874720
1000000, 30, 30, 1, 200, 873524
1000000, 30, 30, 1, 200, 874079
1000000, 30, 30, 1, 200, 872603
1000000, 30, 30, 1, 200, 873641
1000000, 30, 30, 1, 200, 873601
1000000, 30, 30, 1, 200, 873574
1000000, 30, 30, 1, 300, 968914
1000000, 30, 30, 1, 300, 968572
1000000, 30, 30, 1, 300, 968723
1000000, 30, 30, 1, 300, 968587
1000000, 30, 30, 1, 300, 968910
1000000, 30, 30, 1, 300, 968656
1000000, 30, 30, 1, 300, 968413
1000000, 30, 30, 1, 300, 968558
1000000, 30, 30, 1, 300, 968743
1000000, 30, 30, 1, 300, 968741
1000000, 30, 30, 1, 300, 968966
1000000, 30, 30, 1, 300, 969109
1000000, 30, 30, 1, 300, 968579
1000000, 30, 30, 1, 300, 969003
1000000, 30, 30, 1, 300, 968560
1000000, 30, 30, 1, 300, 968748
1000000, 30, 30, 1, 300, 968479
1000000, 30, 30, 1, 300, 968535
1000000, 30, 30, 1, 300, 968799
1000000, 30, 30, 1, 300, 968436
1000000, 30, 30, 1, 300, 968622
1000000, 30, 30, 1, 300, 968341
1000000, 30, 30, 1, 300, 968898
1000000, 30, 30, 1, 300, 969144
1000000, 30, 30, 1, 300, 968604
1000000, 30, 30, 1, 300, 968656
1000000, 30, 30, 1, 300, 968852
1000000, 30, 30, 1, 300, 968474
1000000, 30, 30, 1, 300, 968933
1000000, 30, 30, 1, 300, 968479
1000000, 30, 30, 1, 400, 991270
1000000, 30, 30, 1, 400, 991165
1000000, 30, 30, 1, 400, 991207
1000000, 30, 30, 1, 400, 991097
1000000, 30, 30, 1, 400, 991099
1000000, 30, 30, 1, 400, 991212
1000000, 30, 30, 1, 400, 990968
1000000, 30, 30, 1, 400, 991245
1000000, 30, 30, 1, 400, 991350
1000000, 30, 30, 1, 400, 991185
1000000, 30, 30, 1, 400, 991258
1000000, 30, 30, 1, 400, 991248
1000000, 30, 30, 1, 400, 991340
1000000, 30, 30, 1, 400, 991156
1000000, 30, 30, 1, 400, 991174
1000000, 30, 30, 1, 400, 991071
1000000, 30, 30, 1, 400, 991191
1000000, 30, 30, 1, 400, 991127
1000000, 30, 30, 1, 400, 991151
1000000, 30, 30, 1, 400, 991255
1000000, 30, 30, 1, 400, 991090
1000000, 30, 30, 1, 400, 991330
1000000, 30, 30, 1, 400, 991165
1000000, 30, 30, 1, 400, 991306
1000000, 30, 30, 1, 400, 991248
1000000, 30, 30, 1, 400, 991089
1000000, 30, 30, 1, 400, 991182
1000000, 30, 30, 1, 400, 991230
1000000, 30, 30, 1, 400, 991176
1000000, 30, 30, 1, 400, 991216
1000000, 30, 30, 1, 500, 997533
1000000, 30, 30, 1, 500, 997433
1000000, 30, 30, 1, 500, 997481
1000000, 30, 30, 1, 500, 997457
1000000, 30, 30, 1, 500, 997360
1000000, 30, 30, 1, 500, 997498
1000000, 30, 30, 1, 500, 997411
1000000, 30, 30, 1, 500, 997411
1000000, 30, 30, 1, 500, 997490
1000000, 30, 30, 1, 500, 997446
1000000, 30, 30, 1, 500, 997438
1000000, 30, 30, 1, 500, 997510
1000000, 30, 30, 1, 500, 997425
1000000, 30, 30, 1, 500, 997415
1000000, 30, 30, 1, 500, 997430
1000000, 30, 30, 1, 500, 997396
1000000, 30, 30, 1, 500, 997318
1000000, 30, 30, 1, 500, 997376
1000000, 30, 30, 1, 500, 997434
1000000, 30, 30, 1, 500, 997392
1000000, 30, 30, 1, 500, 997332
1000000, 30, 30, 1, 500, 997362
1000000, 30, 30, 1, 500, 997286
1000000, 30, 30, 1, 500, 997433
1000000, 30, 30, 1, 500, 997470
1000000, 30, 30, 1, 500, 997493
1000000, 30, 30, 1, 500, 997436
1000000, 30, 30, 1, 500, 997424
1000000, 30, 30, 1, 500, 997340
