NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 0, 5
1000000, 30, 30, 5, 100, 248273
1000000, 30, 30, 5, 100, 256865
1000000, 30, 30, 5, 100, 250156
1000000, 30, 30, 5, 100, 21
1000000, 30, 30, 5, 100, 254440
1000000, 30, 30, 5, 100, 11
1000000, 30, 30, 5, 100, 257264
1000000, 30, 30, 5, 100, 249656
1000000, 30, 30, 5, 100, 249835
1000000, 30, 30, 5, 100, 250722
1000000, 30, 30, 5, 100, 246827
1000000, 30, 30, 5, 100, 15
1000000, 30, 30, 5, 100, 248483
1000000, 30, 30, 5, 100, 256533
1000000, 30, 30, 5, 100, 252972
1000000, 30, 30, 5, 100, 255138
1000000, 30, 30, 5, 100, 252721
1000000, 30, 30, 5, 100, 252953
1000000, 30, 30, 5, 100, 252262
1000000, 30, 30, 5, 100, 250651
1000000, 30, 30, 5, 100, 255091
1000000, 30, 30, 5, 100, 250586
1000000, 30, 30, 5, 100, 253743
1000000, 30, 30, 5, 100, 254003
1000000, 30, 30, 5, 100, 255710
1000000, 30, 30, 5, 100, 252528
1000000, 30, 30, 5, 100, 253195
1000000, 30, 30, 5, 100, 21
1000000, 30, 30, 5, 100, 258097
1000000, 30, 30, 5, 100, 252329
1000000, 30, 30, 5, 200, 871474
1000000, 30, 30, 5, 200, 871106
1000000, 30, 30, 5, 200, 870834
1000000, 30, 30, 5, 200, 870466
1000000, 30, 30, 5, 200, 870566
1000000, 30, 30, 5, 200, 870736
1000000, 30, 30, 5, 200, 870582
1000000, 30, 30, 5, 200, 871507
1000000, 30, 30, 5, 200, 870840
1000000, 30, 30, 5, 200, 870615
1000000, 30, 30, 5, 200, 870490
1000000, 30, 30, 5, 200, 871468
1000000, 30, 30, 5, 200, 870894
1000000, 30, 30, 5, 200, 869999
1000000, 30, 30, 5, 200, 870633
1000000, 30, 30, 5, 200, 870473
1000000, 30, 30, 5, 200, 870921
1000000, 30, 30, 5, 200, 870973
1000000, 30, 30, 5, 200, 871363
1000000, 30, 30, 5, 200, 871802
1000000, 30, 30, 5, 200, 869821
1000000, 30, 30, 5, 200, 870828
1000000, 30, 30, 5, 200, 869889
1000000, 30, 30, 5, 200, 870307
1000000, 30, 30, 5, 200, 870866
1000000, 30, 30, 5, 200, 869789
1000000, 30, 30, 5, 200, 871086
1000000, 30, 30, 5, 200, 869882
1000000, 30, 30, 5, 200, 870450
1000000, 30, 30, 5, 200, 871339
1000000, 30, 30, 5, 300, 966816
1000000, 30, 30, 5, 300, 966693
1000000, 30, 30, 5, 300, 967040
1000000, 30, 30, 5, 300, 966838
1000000, 30, 30, 5, 300, 967074
1000000, 30, 30, 5, 300, 967088
1000000, 30, 30, 5, 300, 967292
1000000, 30, 30, 5, 300, 966989
1000000, 30, 30, 5, 300, 966958
1000000, 30, 30, 5, 300, 966895
1000000, 30, 30, 5, 300, 966935
1000000, 30, 30, 5, 300, 967078
1000000, 30, 30, 5, 300, 966424
1000000, 30, 30, 5, 300, 967249
1000000, 30, 30, 5, 300, 967177
1000000, 30, 30, 5, 300, 967013
1000000, 30, 30, 5, 300, 967057
1000000, 30, 30, 5, 300, 966835
1000000, 30, 30, 5, 300, 967000
1000000, 30, 30, 5, 300, 966580
1000000, 30, 30, 5, 300, 967030
1000000, 30, 30, 5, 300, 967161
1000000, 30, 30, 5, 300, 966890
1000000, 30, 30, 5, 300, 967131
1000000, 30, 30, 5, 300, 966897
1000000, 30, 30, 5, 300, 966961
1000000, 30, 30, 5, 300, 967133
1000000, 30, 30, 5, 300, 967043
