NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 0, 1
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 100, 3
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 3
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 200, 4
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 5
1000000, 50, 26, 300, 6
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 300, 4
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 5
1000000, 50, 26, 400, 6
1000000, 50, 26, 400, 5
1000000, 50, 26, 500, 5
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 5
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 7
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 6
1000000, 50, 26, 500, 7
1000000, 50, 26, 600, 8
1000000, 50, 26, 600, 7
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 8
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 7
1000000, 50, 26, 600, 8
1000000, 50, 26, 600, 7
1000000, 50, 26, 600, 6
1000000, 50, 26, 600, 6
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 8
1000000, 50, 26, 700, 7
1000000, 50, 26, 700, 9
1000000, 50, 26, 700, 8
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 11
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 8
1000000, 50, 26, 800, 11
1000000, 50, 26, 800, 8
1000000, 50, 26, 800, 10
1000000, 50, 26, 800, 11
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 15
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 13
1000000, 50, 26, 900, 12
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 10
1000000, 50, 26, 900, 11
1000000, 50, 26, 900, 11
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1000, 14
1000000, 50, 26, 1000, 15
1000000, 50, 26, 1000, 14
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1000, 15
1000000, 50, 26, 1000, 14
1000000, 50, 26, 1000, 14
1000000, 50, 26, 1000, 13
1000000, 50, 26, 1100, 23
1000000, 50, 26, 1100, 19
1000000, 50, 26, 1100, 14
1000000, 50, 26, 1100, 19
1000000, 50, 26, 1100, 24
1000000, 50, 26, 1100, 17
1000000, 50, 26, 1100, 15
1000000, 50, 26, 1100, 17
1000000, 50, 26, 1100, 14
1000000, 50, 26, 1100, 17
1000000, 50, 26, 1200, 19
1000000, 50, 26, 1200, 21
1000000, 50, 26, 1200, 18
1000000, 50, 26, 1200, 21
1000000, 50, 26, 1200, 18
1000000, 50, 26, 1200, 26
1000000, 50, 26, 1200, 24
1000000, 50, 26, 1200, 24
1000000, 50, 26, 1200, 18
1000000, 50, 26, 1200, 19
1000000, 50, 26, 1300, 27
1000000, 50, 26, 1300, 24
1000000, 50, 26, 1300, 26
1000000, 50, 26, 1300, 22
