NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 100, 2
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 200, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 5
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 300, 3
1000000, 10, 5, 400, 3
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 3
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 4
1000000, 10, 5, 400, 3
1000000, 10, 5, 400, 3
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 3
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 500, 4
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 5
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 5
1000000, 10, 5, 600, 4
1000000, 10, 5, 600, 5
1000000, 10, 5, 700, 6
1000000, 10, 5, 700, 4
1000000, 10, 5, 700, 4
1000000, 10, 5, 700, 5
1000000, 10, 5, 700, 4
1000000, 10, 5, 700, 4
1000000, 10, 5, 700, 5
1000000, 10, 5, 700, 4
1000000, 10, 5, 700, 5
1000000, 10, 5, 700, 5
1000000, 10, 5, 800, 4
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 6
1000000, 10, 5, 800, 6
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 5
1000000, 10, 5, 800, 5
1000000, 10, 5, 900, 5
1000000, 10, 5, 900, 5
1000000, 10, 5, 900, 7
1000000, 10, 5, 900, 7
1000000, 10, 5, 900, 5
1000000, 10, 5, 900, 7
1000000, 10, 5, 900, 6
1000000, 10, 5, 900, 6
1000000, 10, 5, 900, 5
1000000, 10, 5, 900, 5
1000000, 10, 5, 1000, 6
1000000, 10, 5, 1000, 7
1000000, 10, 5, 1000, 7
1000000, 10, 5, 1000, 7
1000000, 10, 5, 1000, 7
1000000, 10, 5, 1000, 7
1000000, 10, 5, 1000, 6
1000000, 10, 5, 1000, 6
1000000, 10, 5, 1000, 6
1000000, 10, 5, 1000, 6
1000000, 10, 5, 1100, 7
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1100, 7
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1100, 7
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1100, 7
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1100, 6
1000000, 10, 5, 1200, 6
1000000, 10, 5, 1200, 8
1000000, 10, 5, 1200, 8
1000000, 10, 5, 1200, 7
1000000, 10, 5, 1200, 7
1000000, 10, 5, 1200, 6
1000000, 10, 5, 1200, 7
1000000, 10, 5, 1200, 6
1000000, 10, 5, 1200, 6
1000000, 10, 5, 1200, 6
1000000, 10, 5, 1300, 8
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1300, 9
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1300, 11
1000000, 10, 5, 1300, 8
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1300, 7
1000000, 10, 5, 1400, 8
1000000, 10, 5, 1400, 9
1000000, 10, 5, 1400, 7
1000000, 10, 5, 1400, 10
1000000, 10, 5, 1400, 8
1000000, 10, 5, 1400, 11
1000000, 10, 5, 1400, 11
1000000, 10, 5, 1400, 7
1000000, 10, 5, 1400, 10
1000000, 10, 5, 1400, 8
1000000, 10, 5, 1500, 10
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1500, 8
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1500, 10
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1500, 10
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1500, 9
1000000, 10, 5, 1600, 10
1000000, 10, 5, 1600, 9
1000000, 10, 5, 1600, 9
1000000, 10, 5, 1600, 9
1000000, 10, 5, 1600, 10
1000000, 10, 5, 1600, 9
1000000, 10, 5, 1600, 12
1000000, 10, 5, 1600, 10
1000000, 10, 5, 1600, 10
1000000, 10, 5, 1600, 9
1000000, 10, 5, 1700, 11
1000000, 10, 5, 1700, 11
1000000, 10, 5, 1700, 10
1000000, 10, 5, 1700, 10
1000000, 10, 5, 1700, 10
1000000, 10, 5, 1700, 12
1000000, 10, 5, 1700, 12
1000000, 10, 5, 1700, 9
1000000, 10, 5, 1700, 10
1000000, 10, 5, 1700, 10
1000000, 10, 5, 1800, 13
1000000, 10, 5, 1800, 12
1000000, 10, 5, 1800, 12
1000000, 10, 5, 1800, 11
1000000, 10, 5, 1800, 11
1000000, 10, 5, 1800, 11
1000000, 10, 5, 1800, 14
1000000, 10, 5, 1800, 13
1000000, 10, 5, 1800, 11
1000000, 10, 5, 1800, 11
1000000, 10, 5, 1900, 13
1000000, 10, 5, 1900, 14
1000000, 10, 5, 1900, 14
1000000, 10, 5, 1900, 14
1000000, 10, 5, 1900, 12
1000000, 10, 5, 1900, 10
1000000, 10, 5, 1900, 16
1000000, 10, 5, 1900, 13
1000000, 10, 5, 1900, 16
1000000, 10, 5, 1900, 13
1000000, 10, 5, 2000, 14
1000000, 10, 5, 2000, 17
1000000, 10, 5, 2000, 15
1000000, 10, 5, 2000, 12
1000000, 10, 5, 2000, 16
1000000, 10, 5, 2000, 14
1000000, 10, 5, 2000, 16
1000000, 10, 5, 2000, 15
1000000, 10, 5, 2000, 16
1000000, 10, 5, 2000, 13
1000000, 10, 5, 2100, 15
1000000, 10, 5, 2100, 20
1000000, 10, 5, 2100, 23
1000000, 10, 5, 2100, 17
1000000, 10, 5, 2100, 19
1000000, 10, 5, 2100, 16
1000000, 10, 5, 2100, 14
1000000, 10, 5, 2100, 16
1000000, 10, 5, 2100, 16
1000000, 10, 5, 2100, 18
1000000, 10, 5, 2200, 16
1000000, 10, 5, 2200, 19
1000000, 10, 5, 2200, 17
1000000, 10, 5, 2200, 17
1000000, 10, 5, 2200, 19
1000000, 10, 5, 2200, 19
1000000, 10, 5, 2200, 18
1000000, 10, 5, 2200, 20
1000000, 10, 5, 2200, 19
1000000, 10, 5, 2200, 19
1000000, 10, 5, 2300, 26
1000000, 10, 5, 2300, 18
1000000, 10, 5, 2300, 20
1000000, 10, 5, 2300, 23
1000000, 10, 5, 2300, 19
1000000, 10, 5, 2300, 20
1000000, 10, 5, 2300, 30
1000000, 10, 5, 2300, 20
1000000, 10, 5, 2300, 24
1000000, 10, 5, 2300, 22
1000000, 10, 5, 2400, 21
1000000, 10, 5, 2400, 20
1000000, 10, 5, 2400, 24
1000000, 10, 5, 2400, 20
1000000, 10, 5, 2400, 23
1000000, 10, 5, 2400, 20
1000000, 10, 5, 2400, 21
1000000, 10, 5, 2400, 27
1000000, 10, 5, 2400, 28
1000000, 10, 5, 2400, 29
1000000, 10, 5, 2500, 24
1000000, 10, 5, 2500, 24
1000000, 10, 5, 2500, 29
1000000, 10, 5, 2500, 26
1000000, 10, 5, 2500, 29
1000000, 10, 5, 2500, 25
1000000, 10, 5, 2500, 27
1000000, 10, 5, 2500, 28
1000000, 10, 5, 2500, 30
