NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 0, 1
1000000, 30, 16, 100, 2
1000000, 30, 16, 100, 2
1000000, 30, 16, 100, 2
1000000, 30, 16, 100, 2
1000000, 30, 16, 100, 3
1000000, 30, 16, 100, 3
1000000, 30, 16, 100, 2
1000000, 30, 16, 100, 3
1000000, 30, 16, 100, 3
1000000, 30, 16, 100, 3
1000000, 30, 16, 200, 4
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 4
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 4
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 3
1000000, 30, 16, 200, 3
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 300, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 5
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 5
1000000, 30, 16, 400, 4
1000000, 30, 16, 400, 4
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 6
1000000, 30, 16, 500, 5
1000000, 30, 16, 500, 4
1000000, 30, 16, 500, 5
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 6
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 5
1000000, 30, 16, 600, 6
1000000, 30, 16, 600, 6
1000000, 30, 16, 600, 5
1000000, 30, 16, 700, 7
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 6
1000000, 30, 16, 700, 7
1000000, 30, 16, 700, 7
1000000, 30, 16, 800, 7
1000000, 30, 16, 800, 9
1000000, 30, 16, 800, 6
1000000, 30, 16, 800, 7
1000000, 30, 16, 800, 6
1000000, 30, 16, 800, 6
1000000, 30, 16, 800, 7
1000000, 30, 16, 800, 6
1000000, 30, 16, 800, 7
1000000, 30, 16, 800, 6
1000000, 30, 16, 900, 8
1000000, 30, 16, 900, 9
1000000, 30, 16, 900, 8
1000000, 30, 16, 900, 8
1000000, 30, 16, 900, 8
1000000, 30, 16, 900, 7
1000000, 30, 16, 900, 7
1000000, 30, 16, 900, 7
1000000, 30, 16, 900, 8
1000000, 30, 16, 900, 8
1000000, 30, 16, 1000, 9
1000000, 30, 16, 1000, 9
1000000, 30, 16, 1000, 9
1000000, 30, 16, 1000, 9
1000000, 30, 16, 1000, 10
1000000, 30, 16, 1000, 9
1000000, 30, 16, 1000, 8
1000000, 30, 16, 1000, 8
1000000, 30, 16, 1000, 8
1000000, 30, 16, 1000, 10
1000000, 30, 16, 1100, 12
1000000, 30, 16, 1100, 12
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1100, 12
1000000, 30, 16, 1100, 9
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1100, 10
1000000, 30, 16, 1200, 10
1000000, 30, 16, 1200, 14
1000000, 30, 16, 1200, 10
1000000, 30, 16, 1200, 10
