NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 5
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 8
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 8
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 6
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 11
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 7
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 12
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 9
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 16
1000000, 10, 5, 300, 11
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 16
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 15
1000000, 10, 5, 300, 11
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 12
1000000, 10, 5, 400, 20
1000000, 10, 5, 400, 16
1000000, 10, 5, 400, 24
1000000, 10, 5, 400, 16
1000000, 10, 5, 400, 15
1000000, 10, 5, 400, 17
1000000, 10, 5, 400, 16
1000000, 10, 5, 400, 20
1000000, 10, 5, 400, 15
1000000, 10, 5, 400, 16
1000000, 10, 5, 500, 21
1000000, 10, 5, 500, 22
1000000, 10, 5, 500, 23
1000000, 10, 5, 500, 24
1000000, 10, 5, 500, 22
1000000, 10, 5, 500, 22
1000000, 10, 5, 500, 19
1000000, 10, 5, 500, 24
1000000, 10, 5, 500, 21
1000000, 10, 5, 500, 19
1000000, 10, 5, 600, 28
1000000, 10, 5, 600, 30
1000000, 10, 5, 600, 26
1000000, 10, 5, 600, 29
1000000, 10, 5, 600, 26
1000000, 10, 5, 600, 25
1000000, 10, 5, 600, 28
1000000, 10, 5, 600, 24
1000000, 10, 5, 600, 29
1000000, 10, 5, 600, 30
1000000, 10, 5, 700, 47
1000000, 10, 5, 700, 44
1000000, 10, 5, 700, 38
1000000, 10, 5, 700, 36
1000000, 10, 5, 700, 44
1000000, 10, 5, 700, 42
1000000, 10, 5, 700, 34
1000000, 10, 5, 700, 34
1000000, 10, 5, 700, 38
1000000, 10, 5, 700, 44
1000000, 10, 5, 800, 57
1000000, 10, 5, 800, 63
1000000, 10, 5, 800, 62
1000000, 10, 5, 800, 46
1000000, 10, 5, 800, 61
1000000, 10, 5, 800, 57
1000000, 10, 5, 800, 54
1000000, 10, 5, 800, 61
1000000, 10, 5, 800, 60
1000000, 10, 5, 800, 50
1000000, 10, 5, 900, 70
1000000, 10, 5, 900, 79
1000000, 10, 5, 900, 86
1000000, 10, 5, 900, 66
1000000, 10, 5, 900, 122
1000000, 10, 5, 900, 113
1000000, 10, 5, 900, 93
1000000, 10, 5, 900, 76
1000000, 10, 5, 900, 68
1000000, 10, 5, 900, 87
1000000, 10, 5, 1000, 130
1000000, 10, 5, 1000, 115
1000000, 10, 5, 1000, 126
1000000, 10, 5, 1000, 125
1000000, 10, 5, 1000, 180
1000000, 10, 5, 1000, 143
1000000, 10, 5, 1000, 176
1000000, 10, 5, 1000, 122
1000000, 10, 5, 1000, 147
1000000, 10, 5, 1000, 134
1000000, 10, 5, 1100, 184
1000000, 10, 5, 1100, 168
1000000, 10, 5, 1100, 251
1000000, 10, 5, 1100, 243
1000000, 10, 5, 1100, 336
1000000, 10, 5, 1100, 319
1000000, 10, 5, 1100, 239
1000000, 10, 5, 1100, 219
1000000, 10, 5, 1100, 190
1000000, 10, 5, 1100, 213
1000000, 10, 5, 1200, 539
1000000, 10, 5, 1200, 384
1000000, 10, 5, 1200, 382
1000000, 10, 5, 1200, 472
1000000, 10, 5, 1200, 361
1000000, 10, 5, 1200, 542
1000000, 10, 5, 1200, 424
1000000, 10, 5, 1200, 504
1000000, 10, 5, 1200, 684
1000000, 10, 5, 1200, 427
1000000, 10, 5, 1300, 3572
1000000, 10, 5, 1300, 2128
1000000, 10, 5, 1300, 2735
1000000, 10, 5, 1300, 2240
1000000, 10, 5, 1300, 2687
1000000, 10, 5, 1300, 1673
1000000, 10, 5, 1300, 1533
1000000, 10, 5, 1300, 3223
1000000, 10, 5, 1300, 1242
1000000, 10, 5, 1300, 1298
1000000, 10, 5, 1400, 55283
1000000, 10, 5, 1400, 46079
1000000, 10, 5, 1400, 58217
1000000, 10, 5, 1400, 51240
1000000, 10, 5, 1400, 58427
1000000, 10, 5, 1400, 60307
1000000, 10, 5, 1400, 42547
1000000, 10, 5, 1400, 57289
1000000, 10, 5, 1400, 58576
1000000, 10, 5, 1400, 47682
1000000, 10, 5, 1500, 118679
1000000, 10, 5, 1500, 124725
1000000, 10, 5, 1500, 125236
1000000, 10, 5, 1500, 119085
1000000, 10, 5, 1500, 122230
1000000, 10, 5, 1500, 123114
1000000, 10, 5, 1500, 125591
1000000, 10, 5, 1500, 126740
1000000, 10, 5, 1500, 119354
1000000, 10, 5, 1500, 123201
1000000, 10, 5, 1600, 181495
1000000, 10, 5, 1600, 185529
1000000, 10, 5, 1600, 183506
1000000, 10, 5, 1600, 183493
1000000, 10, 5, 1600, 184628
1000000, 10, 5, 1600, 182951
1000000, 10, 5, 1600, 181793
1000000, 10, 5, 1600, 179336
1000000, 10, 5, 1600, 183447
1000000, 10, 5, 1600, 180291
1000000, 10, 5, 1700, 236322
1000000, 10, 5, 1700, 238729
1000000, 10, 5, 1700, 238250
1000000, 10, 5, 1700, 237797
1000000, 10, 5, 1700, 235112
1000000, 10, 5, 1700, 236794
1000000, 10, 5, 1700, 238207
1000000, 10, 5, 1700, 236759
1000000, 10, 5, 1700, 233545
1000000, 10, 5, 1700, 237770
1000000, 10, 5, 1800, 281719
1000000, 10, 5, 1800, 281514
1000000, 10, 5, 1800, 282490
1000000, 10, 5, 1800, 282402
1000000, 10, 5, 1800, 281824
1000000, 10, 5, 1800, 281717
1000000, 10, 5, 1800, 282622
1000000, 10, 5, 1800, 282677
1000000, 10, 5, 1800, 282457
1000000, 10, 5, 1800, 280533
1000000, 10, 5, 1900, 324666
1000000, 10, 5, 1900, 322840
1000000, 10, 5, 1900, 324483
1000000, 10, 5, 1900, 323514
1000000, 10, 5, 1900, 327052
1000000, 10, 5, 1900, 324080
1000000, 10, 5, 1900, 323666
1000000, 10, 5, 1900, 323970
1000000, 10, 5, 1900, 321792
1000000, 10, 5, 1900, 325341
1000000, 10, 5, 2000, 358791
1000000, 10, 5, 2000, 359836
1000000, 10, 5, 2000, 360733
1000000, 10, 5, 2000, 358995
1000000, 10, 5, 2000, 359600
1000000, 10, 5, 2000, 360460
1000000, 10, 5, 2000, 359364
1000000, 10, 5, 2000, 358142
1000000, 10, 5, 2000, 358644
1000000, 10, 5, 2000, 360313
1000000, 10, 5, 2100, 392357
1000000, 10, 5, 2100, 394337
1000000, 10, 5, 2100, 392631
1000000, 10, 5, 2100, 392255
1000000, 10, 5, 2100, 392289
1000000, 10, 5, 2100, 392629
1000000, 10, 5, 2100, 391591
1000000, 10, 5, 2100, 391405
1000000, 10, 5, 2100, 392143
1000000, 10, 5, 2100, 390181
1000000, 10, 5, 2200, 421970
1000000, 10, 5, 2200, 422764
1000000, 10, 5, 2200, 422775
1000000, 10, 5, 2200, 422201
1000000, 10, 5, 2200, 421430
1000000, 10, 5, 2200, 419801
1000000, 10, 5, 2200, 420402
1000000, 10, 5, 2200, 421640
1000000, 10, 5, 2200, 420266
1000000, 10, 5, 2200, 420763
1000000, 10, 5, 2300, 447310
1000000, 10, 5, 2300, 447654
1000000, 10, 5, 2300, 447570
1000000, 10, 5, 2300, 447754
1000000, 10, 5, 2300, 447697
1000000, 10, 5, 2300, 446570
1000000, 10, 5, 2300, 446015
1000000, 10, 5, 2300, 447934
1000000, 10, 5, 2300, 447679
1000000, 10, 5, 2300, 447460
1000000, 10, 5, 2400, 471757
1000000, 10, 5, 2400, 472683
1000000, 10, 5, 2400, 469272
1000000, 10, 5, 2400, 471098
1000000, 10, 5, 2400, 472163
1000000, 10, 5, 2400, 471747
1000000, 10, 5, 2400, 470712
1000000, 10, 5, 2400, 471838
1000000, 10, 5, 2400, 471086
1000000, 10, 5, 2400, 469822
1000000, 10, 5, 2500, 494076
1000000, 10, 5, 2500, 492230
