NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 6
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 8
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 6
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 200, 11
1000000, 20, 10, 200, 11
1000000, 20, 10, 200, 10
1000000, 20, 10, 200, 11
1000000, 20, 10, 200, 12
1000000, 20, 10, 200, 14
1000000, 20, 10, 200, 9
1000000, 20, 10, 200, 9
1000000, 20, 10, 200, 11
1000000, 20, 10, 200, 9
1000000, 20, 10, 300, 14
1000000, 20, 10, 300, 14
1000000, 20, 10, 300, 18
1000000, 20, 10, 300, 16
1000000, 20, 10, 300, 15
1000000, 20, 10, 300, 14
1000000, 20, 10, 300, 22
1000000, 20, 10, 300, 16
1000000, 20, 10, 300, 14
1000000, 20, 10, 300, 13
1000000, 20, 10, 400, 24
1000000, 20, 10, 400, 25
1000000, 20, 10, 400, 22
1000000, 20, 10, 400, 24
1000000, 20, 10, 400, 17
1000000, 20, 10, 400, 20
1000000, 20, 10, 400, 18
1000000, 20, 10, 400, 23
1000000, 20, 10, 400, 20
1000000, 20, 10, 400, 17
1000000, 20, 10, 500, 31
1000000, 20, 10, 500, 26
1000000, 20, 10, 500, 30
1000000, 20, 10, 500, 29
1000000, 20, 10, 500, 32
1000000, 20, 10, 500, 42
1000000, 20, 10, 500, 31
1000000, 20, 10, 500, 31
1000000, 20, 10, 500, 25
1000000, 20, 10, 500, 26
1000000, 20, 10, 600, 41
1000000, 20, 10, 600, 40
1000000, 20, 10, 600, 42
1000000, 20, 10, 600, 46
1000000, 20, 10, 600, 37
1000000, 20, 10, 600, 54
1000000, 20, 10, 600, 41
1000000, 20, 10, 600, 43
1000000, 20, 10, 600, 43
1000000, 20, 10, 600, 37
1000000, 20, 10, 700, 103
1000000, 20, 10, 700, 86
1000000, 20, 10, 700, 76
1000000, 20, 10, 700, 67
1000000, 20, 10, 700, 93
1000000, 20, 10, 700, 65
1000000, 20, 10, 700, 67
1000000, 20, 10, 700, 71
1000000, 20, 10, 700, 63
1000000, 20, 10, 700, 74
1000000, 20, 10, 800, 167
1000000, 20, 10, 800, 135
1000000, 20, 10, 800, 138
1000000, 20, 10, 800, 105
1000000, 20, 10, 800, 101
1000000, 20, 10, 800, 99
1000000, 20, 10, 800, 125
1000000, 20, 10, 800, 132
1000000, 20, 10, 800, 103
1000000, 20, 10, 800, 125
1000000, 20, 10, 900, 250
1000000, 20, 10, 900, 284
1000000, 20, 10, 900, 382
1000000, 20, 10, 900, 367
1000000, 20, 10, 900, 343
1000000, 20, 10, 900, 249
1000000, 20, 10, 900, 222
1000000, 20, 10, 900, 278
1000000, 20, 10, 900, 259
1000000, 20, 10, 900, 213
1000000, 20, 10, 1000, 1057
1000000, 20, 10, 1000, 1086
1000000, 20, 10, 1000, 1183
1000000, 20, 10, 1000, 1472
1000000, 20, 10, 1000, 943
1000000, 20, 10, 1000, 1282
1000000, 20, 10, 1000, 1003
1000000, 20, 10, 1000, 741
1000000, 20, 10, 1000, 1409
1000000, 20, 10, 1000, 1224
1000000, 20, 10, 1100, 96252
1000000, 20, 10, 1100, 85147
1000000, 20, 10, 1100, 74084
1000000, 20, 10, 1100, 84461
1000000, 20, 10, 1100, 93607
1000000, 20, 10, 1100, 77454
1000000, 20, 10, 1100, 88419
1000000, 20, 10, 1100, 104677
1000000, 20, 10, 1100, 78372
1000000, 20, 10, 1100, 87776
1000000, 20, 10, 1200, 256376
1000000, 20, 10, 1200, 249963
1000000, 20, 10, 1200, 251293
1000000, 20, 10, 1200, 253396
1000000, 20, 10, 1200, 253035
1000000, 20, 10, 1200, 249180
1000000, 20, 10, 1200, 249740
1000000, 20, 10, 1200, 253474
1000000, 20, 10, 1200, 255455
1000000, 20, 10, 1200, 256357
1000000, 20, 10, 1300, 386395
1000000, 20, 10, 1300, 382624
1000000, 20, 10, 1300, 383870
1000000, 20, 10, 1300, 386223
1000000, 20, 10, 1300, 385636
1000000, 20, 10, 1300, 387093
1000000, 20, 10, 1300, 384049
1000000, 20, 10, 1300, 386376
1000000, 20, 10, 1300, 381485
1000000, 20, 10, 1300, 385023
1000000, 20, 10, 1400, 485515
1000000, 20, 10, 1400, 487129
1000000, 20, 10, 1400, 483763
1000000, 20, 10, 1400, 486009
1000000, 20, 10, 1400, 487735
1000000, 20, 10, 1400, 488068
1000000, 20, 10, 1400, 488523
1000000, 20, 10, 1400, 486608
1000000, 20, 10, 1400, 487777
1000000, 20, 10, 1400, 488805
1000000, 20, 10, 1500, 572005
1000000, 20, 10, 1500, 570778
1000000, 20, 10, 1500, 571926
1000000, 20, 10, 1500, 567608
1000000, 20, 10, 1500, 570901
1000000, 20, 10, 1500, 572555
1000000, 20, 10, 1500, 569858
1000000, 20, 10, 1500, 567754
1000000, 20, 10, 1500, 568602
1000000, 20, 10, 1500, 569270
1000000, 20, 10, 1600, 638043
1000000, 20, 10, 1600, 636962
1000000, 20, 10, 1600, 637677
1000000, 20, 10, 1600, 636968
1000000, 20, 10, 1600, 637583
1000000, 20, 10, 1600, 636461
1000000, 20, 10, 1600, 635211
1000000, 20, 10, 1600, 636160
1000000, 20, 10, 1600, 636084
1000000, 20, 10, 1600, 636307
1000000, 20, 10, 1700, 692829
1000000, 20, 10, 1700, 691569
1000000, 20, 10, 1700, 692625
1000000, 20, 10, 1700, 692089
1000000, 20, 10, 1700, 693408
1000000, 20, 10, 1700, 692304
1000000, 20, 10, 1700, 692114
1000000, 20, 10, 1700, 691877
1000000, 20, 10, 1700, 691635
1000000, 20, 10, 1700, 693611
1000000, 20, 10, 1800, 736695
1000000, 20, 10, 1800, 738824
1000000, 20, 10, 1800, 739762
1000000, 20, 10, 1800, 734544
1000000, 20, 10, 1800, 737370
1000000, 20, 10, 1800, 737970
1000000, 20, 10, 1800, 737339
1000000, 20, 10, 1800, 737833
1000000, 20, 10, 1800, 739133
1000000, 20, 10, 1800, 735845
1000000, 20, 10, 1900, 775091
1000000, 20, 10, 1900, 776394
1000000, 20, 10, 1900, 775579
1000000, 20, 10, 1900, 775306
1000000, 20, 10, 1900, 777032
1000000, 20, 10, 1900, 774251
1000000, 20, 10, 1900, 775546
1000000, 20, 10, 1900, 776329
1000000, 20, 10, 1900, 775615
1000000, 20, 10, 1900, 776183
1000000, 20, 10, 2000, 806725
1000000, 20, 10, 2000, 808298
1000000, 20, 10, 2000, 807163
1000000, 20, 10, 2000, 807439
1000000, 20, 10, 2000, 806736
1000000, 20, 10, 2000, 808491
1000000, 20, 10, 2000, 806698
1000000, 20, 10, 2000, 807098
1000000, 20, 10, 2000, 807401
1000000, 20, 10, 2000, 808674
1000000, 20, 10, 2100, 834124
1000000, 20, 10, 2100, 833841
1000000, 20, 10, 2100, 833507
1000000, 20, 10, 2100, 834187
1000000, 20, 10, 2100, 833546
1000000, 20, 10, 2100, 833383
1000000, 20, 10, 2100, 834247
1000000, 20, 10, 2100, 833655
1000000, 20, 10, 2100, 834763
1000000, 20, 10, 2100, 833871
1000000, 20, 10, 2200, 856991
1000000, 20, 10, 2200, 858014
1000000, 20, 10, 2200, 856842
1000000, 20, 10, 2200, 856265
1000000, 20, 10, 2200, 856569
1000000, 20, 10, 2200, 856561
1000000, 20, 10, 2200, 856420
1000000, 20, 10, 2200, 856534
1000000, 20, 10, 2200, 856765
1000000, 20, 10, 2200, 856652
1000000, 20, 10, 2300, 875909
1000000, 20, 10, 2300, 876547
1000000, 20, 10, 2300, 874934
1000000, 20, 10, 2300, 876098
1000000, 20, 10, 2300, 875649
1000000, 20, 10, 2300, 875945
1000000, 20, 10, 2300, 876295
1000000, 20, 10, 2300, 876169
1000000, 20, 10, 2300, 877212
1000000, 20, 10, 2300, 875838
1000000, 20, 10, 2400, 892348
1000000, 20, 10, 2400, 893015
1000000, 20, 10, 2400, 892128
1000000, 20, 10, 2400, 892911
1000000, 20, 10, 2400, 892659
1000000, 20, 10, 2400, 891928
1000000, 20, 10, 2400, 892926
1000000, 20, 10, 2400, 892478
1000000, 20, 10, 2400, 892854
1000000, 20, 10, 2400, 892840
