NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 0, 1
1000000, 20, 10, 100, 8
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 6
1000000, 20, 10, 100, 8
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 100, 7
1000000, 20, 10, 200, 10
1000000, 20, 10, 200, 11
1000000, 20, 10, 200, 10
1000000, 20, 10, 200, 9
1000000, 20, 10, 200, 10
1000000, 20, 10, 200, 9
1000000, 20, 10, 200, 9
1000000, 20, 10, 200, 8
1000000, 20, 10, 200, 10
1000000, 20, 10, 200, 9
1000000, 20, 10, 300, 12
1000000, 20, 10, 300, 13
1000000, 20, 10, 300, 13
1000000, 20, 10, 300, 15
1000000, 20, 10, 300, 14
1000000, 20, 10, 300, 15
1000000, 20, 10, 300, 11
1000000, 20, 10, 300, 13
1000000, 20, 10, 300, 16
1000000, 20, 10, 300, 14
1000000, 20, 10, 400, 17
1000000, 20, 10, 400, 18
1000000, 20, 10, 400, 18
1000000, 20, 10, 400, 22
1000000, 20, 10, 400, 18
1000000, 20, 10, 400, 16
1000000, 20, 10, 400, 20
1000000, 20, 10, 400, 16
1000000, 20, 10, 400, 16
1000000, 20, 10, 400, 22
1000000, 20, 10, 500, 23
1000000, 20, 10, 500, 28
1000000, 20, 10, 500, 23
1000000, 20, 10, 500, 21
1000000, 20, 10, 500, 22
1000000, 20, 10, 500, 18
1000000, 20, 10, 500, 24
1000000, 20, 10, 500, 22
1000000, 20, 10, 500, 19
1000000, 20, 10, 500, 21
1000000, 20, 10, 600, 28
1000000, 20, 10, 600, 32
1000000, 20, 10, 600, 32
1000000, 20, 10, 600, 33
1000000, 20, 10, 600, 36
1000000, 20, 10, 600, 25
1000000, 20, 10, 600, 31
1000000, 20, 10, 600, 27
1000000, 20, 10, 600, 30
1000000, 20, 10, 600, 30
1000000, 20, 10, 700, 37
1000000, 20, 10, 700, 51
1000000, 20, 10, 700, 50
1000000, 20, 10, 700, 35
1000000, 20, 10, 700, 45
1000000, 20, 10, 700, 48
1000000, 20, 10, 700, 43
1000000, 20, 10, 700, 43
1000000, 20, 10, 700, 44
1000000, 20, 10, 700, 44
1000000, 20, 10, 800, 96
1000000, 20, 10, 800, 50
1000000, 20, 10, 800, 63
1000000, 20, 10, 800, 46
1000000, 20, 10, 800, 91
1000000, 20, 10, 800, 66
1000000, 20, 10, 800, 61
1000000, 20, 10, 800, 54
1000000, 20, 10, 800, 53
1000000, 20, 10, 800, 64
1000000, 20, 10, 900, 92
1000000, 20, 10, 900, 87
1000000, 20, 10, 900, 79
1000000, 20, 10, 900, 80
1000000, 20, 10, 900, 80
1000000, 20, 10, 900, 81
1000000, 20, 10, 900, 99
1000000, 20, 10, 900, 77
1000000, 20, 10, 900, 93
1000000, 20, 10, 900, 106
1000000, 20, 10, 1000, 105
1000000, 20, 10, 1000, 176
1000000, 20, 10, 1000, 117
1000000, 20, 10, 1000, 178
1000000, 20, 10, 1000, 132
1000000, 20, 10, 1000, 114
1000000, 20, 10, 1000, 111
1000000, 20, 10, 1000, 99
1000000, 20, 10, 1000, 120
1000000, 20, 10, 1000, 133
1000000, 20, 10, 1100, 251
1000000, 20, 10, 1100, 245
1000000, 20, 10, 1100, 238
1000000, 20, 10, 1100, 226
1000000, 20, 10, 1100, 236
1000000, 20, 10, 1100, 367
1000000, 20, 10, 1100, 366
1000000, 20, 10, 1100, 243
1000000, 20, 10, 1100, 223
1000000, 20, 10, 1100, 223
1000000, 20, 10, 1200, 622
1000000, 20, 10, 1200, 420
1000000, 20, 10, 1200, 349
1000000, 20, 10, 1200, 335
1000000, 20, 10, 1200, 390
1000000, 20, 10, 1200, 497
1000000, 20, 10, 1200, 347
1000000, 20, 10, 1200, 458
1000000, 20, 10, 1200, 643
1000000, 20, 10, 1200, 488
1000000, 20, 10, 1300, 2261
1000000, 20, 10, 1300, 1212
1000000, 20, 10, 1300, 1710
1000000, 20, 10, 1300, 1458
1000000, 20, 10, 1300, 1729
1000000, 20, 10, 1300, 2120
1000000, 20, 10, 1300, 1372
1000000, 20, 10, 1300, 1509
1000000, 20, 10, 1300, 1077
1000000, 20, 10, 1300, 1224
1000000, 20, 10, 1400, 15516
1000000, 20, 10, 1400, 35484
1000000, 20, 10, 1400, 21971
1000000, 20, 10, 1400, 39693
1000000, 20, 10, 1400, 53223
1000000, 20, 10, 1400, 16959
1000000, 20, 10, 1400, 27684
1000000, 20, 10, 1400, 28102
1000000, 20, 10, 1400, 27396
1000000, 20, 10, 1400, 48829
1000000, 20, 10, 1500, 216435
1000000, 20, 10, 1500, 208678
1000000, 20, 10, 1500, 204394
1000000, 20, 10, 1500, 199177
1000000, 20, 10, 1500, 207600
1000000, 20, 10, 1500, 210302
1000000, 20, 10, 1500, 215270
1000000, 20, 10, 1500, 208435
1000000, 20, 10, 1500, 204299
1000000, 20, 10, 1500, 197628
1000000, 20, 10, 1600, 339872
1000000, 20, 10, 1600, 337790
1000000, 20, 10, 1600, 334629
1000000, 20, 10, 1600, 331148
1000000, 20, 10, 1600, 333484
1000000, 20, 10, 1600, 337236
1000000, 20, 10, 1600, 337648
1000000, 20, 10, 1600, 338743
1000000, 20, 10, 1600, 333260
1000000, 20, 10, 1600, 340210
1000000, 20, 10, 1700, 441764
1000000, 20, 10, 1700, 436010
1000000, 20, 10, 1700, 436062
1000000, 20, 10, 1700, 435360
1000000, 20, 10, 1700, 443216
1000000, 20, 10, 1700, 443247
1000000, 20, 10, 1700, 434383
1000000, 20, 10, 1700, 441231
1000000, 20, 10, 1700, 439051
1000000, 20, 10, 1700, 436508
1000000, 20, 10, 1800, 523955
1000000, 20, 10, 1800, 530045
1000000, 20, 10, 1800, 527511
1000000, 20, 10, 1800, 521408
1000000, 20, 10, 1800, 526483
1000000, 20, 10, 1800, 524465
1000000, 20, 10, 1800, 526428
1000000, 20, 10, 1800, 529824
1000000, 20, 10, 1800, 525884
1000000, 20, 10, 1800, 524586
1000000, 20, 10, 1900, 597643
1000000, 20, 10, 1900, 595092
1000000, 20, 10, 1900, 595054
1000000, 20, 10, 1900, 598290
1000000, 20, 10, 1900, 591631
1000000, 20, 10, 1900, 595546
1000000, 20, 10, 1900, 598793
1000000, 20, 10, 1900, 596254
1000000, 20, 10, 1900, 593437
1000000, 20, 10, 1900, 599568
1000000, 20, 10, 2000, 653962
1000000, 20, 10, 2000, 657861
1000000, 20, 10, 2000, 651145
1000000, 20, 10, 2000, 651997
1000000, 20, 10, 2000, 655949
1000000, 20, 10, 2000, 653903
1000000, 20, 10, 2000, 654410
1000000, 20, 10, 2000, 654286
1000000, 20, 10, 2000, 652117
1000000, 20, 10, 2000, 656379
1000000, 20, 10, 2100, 703534
1000000, 20, 10, 2100, 704063
1000000, 20, 10, 2100, 702990
1000000, 20, 10, 2100, 702687
1000000, 20, 10, 2100, 703348
1000000, 20, 10, 2100, 703954
1000000, 20, 10, 2100, 702460
1000000, 20, 10, 2100, 705328
1000000, 20, 10, 2100, 702795
1000000, 20, 10, 2100, 703840
1000000, 20, 10, 2200, 745112
1000000, 20, 10, 2200, 743590
1000000, 20, 10, 2200, 748662
1000000, 20, 10, 2200, 745355
1000000, 20, 10, 2200, 744163
1000000, 20, 10, 2200, 744721
1000000, 20, 10, 2200, 745871
1000000, 20, 10, 2200, 741723
1000000, 20, 10, 2200, 743837
1000000, 20, 10, 2200, 743071
1000000, 20, 10, 2300, 779969
1000000, 20, 10, 2300, 777953
1000000, 20, 10, 2300, 779752
1000000, 20, 10, 2300, 780074
1000000, 20, 10, 2300, 780296
1000000, 20, 10, 2300, 780216
1000000, 20, 10, 2300, 779526
1000000, 20, 10, 2300, 779048
1000000, 20, 10, 2300, 778732
1000000, 20, 10, 2300, 782278
1000000, 20, 10, 2400, 809539
1000000, 20, 10, 2400, 810179
1000000, 20, 10, 2400, 808234
1000000, 20, 10, 2400, 807869
1000000, 20, 10, 2400, 809368
1000000, 20, 10, 2400, 809589
1000000, 20, 10, 2400, 810952
1000000, 20, 10, 2400, 808630
1000000, 20, 10, 2400, 808576
1000000, 20, 10, 2400, 808949
1000000, 20, 10, 2500, 833878
1000000, 20, 10, 2500, 833766
