NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 8
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 8
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 7
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 9
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 15
1000000, 10, 5, 200, 10
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 15
1000000, 10, 5, 300, 14
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 12
1000000, 10, 5, 300, 14
1000000, 10, 5, 300, 13
1000000, 10, 5, 300, 13
1000000, 10, 5, 400, 18
1000000, 10, 5, 400, 18
1000000, 10, 5, 400, 22
1000000, 10, 5, 400, 23
1000000, 10, 5, 400, 20
1000000, 10, 5, 400, 15
1000000, 10, 5, 400, 18
1000000, 10, 5, 400, 19
1000000, 10, 5, 400, 19
1000000, 10, 5, 400, 16
1000000, 10, 5, 500, 24
1000000, 10, 5, 500, 27
1000000, 10, 5, 500, 24
1000000, 10, 5, 500, 22
1000000, 10, 5, 500, 33
1000000, 10, 5, 500, 37
1000000, 10, 5, 500, 22
1000000, 10, 5, 500, 28
1000000, 10, 5, 500, 24
1000000, 10, 5, 500, 38
1000000, 10, 5, 600, 37
1000000, 10, 5, 600, 30
1000000, 10, 5, 600, 34
1000000, 10, 5, 600, 36
1000000, 10, 5, 600, 35
1000000, 10, 5, 600, 29
1000000, 10, 5, 600, 32
1000000, 10, 5, 600, 31
1000000, 10, 5, 600, 30
1000000, 10, 5, 600, 40
1000000, 10, 5, 700, 51
1000000, 10, 5, 700, 50
1000000, 10, 5, 700, 42
1000000, 10, 5, 700, 50
1000000, 10, 5, 700, 47
1000000, 10, 5, 700, 62
1000000, 10, 5, 700, 55
1000000, 10, 5, 700, 41
1000000, 10, 5, 700, 53
1000000, 10, 5, 700, 45
1000000, 10, 5, 800, 108
1000000, 10, 5, 800, 82
1000000, 10, 5, 800, 63
1000000, 10, 5, 800, 62
1000000, 10, 5, 800, 60
1000000, 10, 5, 800, 64
1000000, 10, 5, 800, 61
1000000, 10, 5, 800, 84
1000000, 10, 5, 800, 64
1000000, 10, 5, 800, 116
1000000, 10, 5, 900, 102
1000000, 10, 5, 900, 97
1000000, 10, 5, 900, 110
1000000, 10, 5, 900, 108
1000000, 10, 5, 900, 126
1000000, 10, 5, 900, 112
1000000, 10, 5, 900, 123
1000000, 10, 5, 900, 104
1000000, 10, 5, 900, 136
1000000, 10, 5, 900, 103
1000000, 10, 5, 1000, 167
1000000, 10, 5, 1000, 252
1000000, 10, 5, 1000, 175
1000000, 10, 5, 1000, 180
1000000, 10, 5, 1000, 225
1000000, 10, 5, 1000, 277
1000000, 10, 5, 1000, 294
1000000, 10, 5, 1000, 196
1000000, 10, 5, 1000, 304
1000000, 10, 5, 1000, 230
1000000, 10, 5, 1100, 708
1000000, 10, 5, 1100, 581
1000000, 10, 5, 1100, 498
1000000, 10, 5, 1100, 467
1000000, 10, 5, 1100, 327
1000000, 10, 5, 1100, 472
1000000, 10, 5, 1100, 436
1000000, 10, 5, 1100, 427
1000000, 10, 5, 1100, 558
1000000, 10, 5, 1100, 490
1000000, 10, 5, 1200, 2144
1000000, 10, 5, 1200, 1885
1000000, 10, 5, 1200, 2845
1000000, 10, 5, 1200, 3346
1000000, 10, 5, 1200, 1933
1000000, 10, 5, 1200, 3403
1000000, 10, 5, 1200, 3151
1000000, 10, 5, 1200, 3604
1000000, 10, 5, 1200, 3054
1000000, 10, 5, 1200, 1989
1000000, 10, 5, 1300, 54946
1000000, 10, 5, 1300, 60667
1000000, 10, 5, 1300, 55637
1000000, 10, 5, 1300, 56498
1000000, 10, 5, 1300, 56673
1000000, 10, 5, 1300, 49828
1000000, 10, 5, 1300, 54631
1000000, 10, 5, 1300, 55162
1000000, 10, 5, 1300, 63220
1000000, 10, 5, 1300, 61275
1000000, 10, 5, 1400, 123109
1000000, 10, 5, 1400, 125229
1000000, 10, 5, 1400, 121591
1000000, 10, 5, 1400, 118195
1000000, 10, 5, 1400, 122555
1000000, 10, 5, 1400, 122726
1000000, 10, 5, 1400, 123150
1000000, 10, 5, 1400, 125142
1000000, 10, 5, 1400, 122770
1000000, 10, 5, 1400, 121564
1000000, 10, 5, 1500, 178935
1000000, 10, 5, 1500, 179115
1000000, 10, 5, 1500, 175840
1000000, 10, 5, 1500, 179097
1000000, 10, 5, 1500, 177400
1000000, 10, 5, 1500, 182763
1000000, 10, 5, 1500, 177728
1000000, 10, 5, 1500, 178356
1000000, 10, 5, 1500, 175586
1000000, 10, 5, 1500, 178178
1000000, 10, 5, 1600, 223753
1000000, 10, 5, 1600, 230092
1000000, 10, 5, 1600, 229499
1000000, 10, 5, 1600, 227124
1000000, 10, 5, 1600, 228491
1000000, 10, 5, 1600, 227836
1000000, 10, 5, 1600, 228159
1000000, 10, 5, 1600, 227417
1000000, 10, 5, 1600, 226346
1000000, 10, 5, 1600, 230197
1000000, 10, 5, 1700, 271262
1000000, 10, 5, 1700, 271080
1000000, 10, 5, 1700, 269294
1000000, 10, 5, 1700, 270379
1000000, 10, 5, 1700, 270087
1000000, 10, 5, 1700, 271050
1000000, 10, 5, 1700, 270123
1000000, 10, 5, 1700, 269359
1000000, 10, 5, 1700, 270917
1000000, 10, 5, 1700, 273120
1000000, 10, 5, 1800, 308016
1000000, 10, 5, 1800, 308574
1000000, 10, 5, 1800, 309837
1000000, 10, 5, 1800, 306026
1000000, 10, 5, 1800, 311613
1000000, 10, 5, 1800, 308397
1000000, 10, 5, 1800, 309558
1000000, 10, 5, 1800, 308007
1000000, 10, 5, 1800, 308242
1000000, 10, 5, 1800, 307973
1000000, 10, 5, 1900, 340700
1000000, 10, 5, 1900, 341918
1000000, 10, 5, 1900, 342988
1000000, 10, 5, 1900, 343864
1000000, 10, 5, 1900, 341690
1000000, 10, 5, 1900, 342333
1000000, 10, 5, 1900, 342196
1000000, 10, 5, 1900, 341502
1000000, 10, 5, 1900, 339761
1000000, 10, 5, 1900, 341987
1000000, 10, 5, 2000, 371795
1000000, 10, 5, 2000, 371343
1000000, 10, 5, 2000, 371189
1000000, 10, 5, 2000, 370231
1000000, 10, 5, 2000, 370727
1000000, 10, 5, 2000, 372311
1000000, 10, 5, 2000, 369994
1000000, 10, 5, 2000, 371466
1000000, 10, 5, 2000, 370912
1000000, 10, 5, 2000, 370014
1000000, 10, 5, 2100, 397280
1000000, 10, 5, 2100, 397002
1000000, 10, 5, 2100, 397423
1000000, 10, 5, 2100, 396204
1000000, 10, 5, 2100, 395691
1000000, 10, 5, 2100, 398341
1000000, 10, 5, 2100, 398085
1000000, 10, 5, 2100, 395639
1000000, 10, 5, 2100, 398248
1000000, 10, 5, 2100, 398666
1000000, 10, 5, 2200, 421816
1000000, 10, 5, 2200, 419548
1000000, 10, 5, 2200, 420322
1000000, 10, 5, 2200, 420468
1000000, 10, 5, 2200, 421173
1000000, 10, 5, 2200, 420508
1000000, 10, 5, 2200, 421219
1000000, 10, 5, 2200, 421227
1000000, 10, 5, 2200, 420240
1000000, 10, 5, 2200, 421725
1000000, 10, 5, 2300, 442342
1000000, 10, 5, 2300, 441878
1000000, 10, 5, 2300, 442407
1000000, 10, 5, 2300, 442618
1000000, 10, 5, 2300, 441479
1000000, 10, 5, 2300, 440505
1000000, 10, 5, 2300, 440533
1000000, 10, 5, 2300, 442567
1000000, 10, 5, 2300, 443487
1000000, 10, 5, 2300, 443314
1000000, 10, 5, 2400, 460870
1000000, 10, 5, 2400, 461245
1000000, 10, 5, 2400, 462130
1000000, 10, 5, 2400, 462273
1000000, 10, 5, 2400, 462275
1000000, 10, 5, 2400, 460637
1000000, 10, 5, 2400, 460567
1000000, 10, 5, 2400, 460486
1000000, 10, 5, 2400, 461655
1000000, 10, 5, 2400, 461020
1000000, 10, 5, 2500, 478039
1000000, 10, 5, 2500, 479082
