NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 10, 5, 1, 1400, 1214
1000000, 10, 5, 1, 1500, 16877
1000000, 10, 5, 1, 1500, 4196
1000000, 10, 5, 1, 1500, 13259
1000000, 10, 5, 1, 1500, 1160
1000000, 10, 5, 1, 1500, 1864
1000000, 10, 5, 1, 1500, 5550
1000000, 10, 5, 1, 1500, 8714
1000000, 10, 5, 1, 1500, 9160
1000000, 10, 5, 1, 1500, 2141
1000000, 10, 5, 1, 1500, 1277
1000000, 10, 5, 1, 1500, 6198
1000000, 10, 5, 1, 1500, 2790
1000000, 10, 5, 1, 1500, 2482
1000000, 10, 5, 1, 1500, 7376
1000000, 10, 5, 1, 1500, 6034
1000000, 10, 5, 1, 1500, 1179
1000000, 10, 5, 1, 1500, 1361
1000000, 10, 5, 1, 1500, 12662
1000000, 10, 5, 1, 1500, 14722
1000000, 10, 5, 1, 1500, 7942
1000000, 10, 5, 1, 1600, 86262
1000000, 10, 5, 1, 1600, 85318
1000000, 10, 5, 1, 1600, 84434
1000000, 10, 5, 1, 1600, 80119
1000000, 10, 5, 1, 1600, 88860
1000000, 10, 5, 1, 1600, 89323
1000000, 10, 5, 1, 1600, 81033
1000000, 10, 5, 1, 1600, 88799
1000000, 10, 5, 1, 1600, 81247
1000000, 10, 5, 1, 1600, 93499
1000000, 10, 5, 1, 1600, 82548
1000000, 10, 5, 1, 1600, 86019
1000000, 10, 5, 1, 1600, 87034
1000000, 10, 5, 1, 1600, 92376
1000000, 10, 5, 1, 1600, 81693
1000000, 10, 5, 1, 1600, 88988
1000000, 10, 5, 1, 1600, 87448
1000000, 10, 5, 1, 1600, 87357
1000000, 10, 5, 1, 1600, 95156
1000000, 10, 5, 1, 1600, 83284
1000000, 10, 5, 1, 1600, 75627
1000000, 10, 5, 1, 1600, 83931
1000000, 10, 5, 1, 1600, 78205
1000000, 10, 5, 1, 1600, 85263
1000000, 10, 5, 1, 1600, 83531
1000000, 10, 5, 1, 1600, 82937
1000000, 10, 5, 1, 1600, 90848
1000000, 10, 5, 1, 1600, 81616
1000000, 10, 5, 1, 1600, 90294
1000000, 10, 5, 1, 1600, 90834
1000000, 10, 5, 1, 1700, 153968
1000000, 10, 5, 1, 1700, 154156
1000000, 10, 5, 1, 1700, 157581
1000000, 10, 5, 1, 1700, 152143
1000000, 10, 5, 1, 1700, 156422
1000000, 10, 5, 1, 1700, 154853
1000000, 10, 5, 1, 1700, 153913
1000000, 10, 5, 1, 1700, 150964
1000000, 10, 5, 1, 1700, 157060
1000000, 10, 5, 1, 1700, 150305
1000000, 10, 5, 1, 1700, 151834
1000000, 10, 5, 1, 1700, 155732
1000000, 10, 5, 1, 1700, 155050
1000000, 10, 5, 1, 1700, 158361
1000000, 10, 5, 1, 1700, 152885
1000000, 10, 5, 1, 1700, 152148
1000000, 10, 5, 1, 1700, 156222
1000000, 10, 5, 1, 1700, 156206
1000000, 10, 5, 1, 1700, 157997
1000000, 10, 5, 1, 1700, 155109
1000000, 10, 5, 1, 1700, 152029
1000000, 10, 5, 1, 1700, 153354
1000000, 10, 5, 1, 1700, 154098
1000000, 10, 5, 1, 1700, 159454
1000000, 10, 5, 1, 1700, 152785
1000000, 10, 5, 1, 1700, 156322
1000000, 10, 5, 1, 1700, 156774
1000000, 10, 5, 1, 1700, 156091
1000000, 10, 5, 1, 1700, 155847
1000000, 10, 5, 1, 1700, 153369
1000000, 10, 5, 1, 1800, 211779
1000000, 10, 5, 1, 1800, 214268
1000000, 10, 5, 1, 1800, 214999
1000000, 10, 5, 1, 1800, 214979
1000000, 10, 5, 1, 1800, 214701
1000000, 10, 5, 1, 1800, 213334
1000000, 10, 5, 1, 1800, 216298
1000000, 10, 5, 1, 1800, 210303
1000000, 10, 5, 1, 1800, 210623
1000000, 10, 5, 1, 1800, 214835
1000000, 10, 5, 1, 1800, 213415
1000000, 10, 5, 1, 1800, 214745
1000000, 10, 5, 1, 1800, 213340
1000000, 10, 5, 1, 1800, 219130
1000000, 10, 5, 1, 1800, 215302
1000000, 10, 5, 1, 1800, 213689
1000000, 10, 5, 1, 1800, 212009
1000000, 10, 5, 1, 1800, 213819
1000000, 10, 5, 1, 1800, 213519
1000000, 10, 5, 1, 1800, 218715
1000000, 10, 5, 1, 1800, 215658
1000000, 10, 5, 1, 1800, 211273
1000000, 10, 5, 1, 1800, 212236
1000000, 10, 5, 1, 1800, 213265
1000000, 10, 5, 1, 1800, 217078
1000000, 10, 5, 1, 1800, 214916
1000000, 10, 5, 1, 1800, 212058
1000000, 10, 5, 1, 1800, 215037
1000000, 10, 5, 1, 1800, 214339
1000000, 10, 5, 1, 1800, 211647
1000000, 10, 5, 1, 1900, 268652
1000000, 10, 5, 1, 1900, 265170
1000000, 10, 5, 1, 1900, 264661
1000000, 10, 5, 1, 1900, 263857
1000000, 10, 5, 1, 1900, 266202
1000000, 10, 5, 1, 1900, 268299
1000000, 10, 5, 1, 1900, 264992
1000000, 10, 5, 1, 1900, 266628
1000000, 10, 5, 1, 1900, 268097
1000000, 10, 5, 1, 1900, 267254
1000000, 10, 5, 1, 1900, 264261
1000000, 10, 5, 1, 1900, 266330
1000000, 10, 5, 1, 1900, 269459
1000000, 10, 5, 1, 1900, 267031
1000000, 10, 5, 1, 1900, 267254
1000000, 10, 5, 1, 1900, 270699
1000000, 10, 5, 1, 1900, 266426
1000000, 10, 5, 1, 1900, 267364
1000000, 10, 5, 1, 1900, 269197
1000000, 10, 5, 1, 1900, 270531
1000000, 10, 5, 1, 1900, 267396
1000000, 10, 5, 1, 1900, 265402
1000000, 10, 5, 1, 1900, 267506
1000000, 10, 5, 1, 1900, 267011
1000000, 10, 5, 1, 1900, 268615
1000000, 10, 5, 1, 1900, 265228
1000000, 10, 5, 1, 1900, 267894
1000000, 10, 5, 1, 1900, 268749
1000000, 10, 5, 1, 1900, 267433
1000000, 10, 5, 1, 1900, 270361
1000000, 10, 5, 1, 2000, 311615
1000000, 10, 5, 1, 2000, 312347
1000000, 10, 5, 1, 2000, 313409
1000000, 10, 5, 1, 2000, 314602
1000000, 10, 5, 1, 2000, 315846
1000000, 10, 5, 1, 2000, 313758
1000000, 10, 5, 1, 2000, 314821
1000000, 10, 5, 1, 2000, 315454
1000000, 10, 5, 1, 2000, 312451
1000000, 10, 5, 1, 2000, 314773
1000000, 10, 5, 1, 2000, 313985
1000000, 10, 5, 1, 2000, 313485
1000000, 10, 5, 1, 2000, 313347
1000000, 10, 5, 1, 2000, 315728
1000000, 10, 5, 1, 2000, 315181
1000000, 10, 5, 1, 2000, 314293
1000000, 10, 5, 1, 2000, 316444
1000000, 10, 5, 1, 2000, 312383
1000000, 10, 5, 1, 2000, 311474
1000000, 10, 5, 1, 2000, 313380
1000000, 10, 5, 1, 2000, 313287
1000000, 10, 5, 1, 2000, 313647
1000000, 10, 5, 1, 2000, 311797
1000000, 10, 5, 1, 2000, 310370
1000000, 10, 5, 1, 2000, 313278
1000000, 10, 5, 1, 2000, 311973
1000000, 10, 5, 1, 2000, 316683
1000000, 10, 5, 1, 2000, 316492
1000000, 10, 5, 1, 2000, 314889
1000000, 10, 5, 1, 2000, 311284
1000000, 10, 5, 1, 2100, 357207
1000000, 10, 5, 1, 2100, 356461
1000000, 10, 5, 1, 2100, 354853
1000000, 10, 5, 1, 2100, 356098
1000000, 10, 5, 1, 2100, 354763
1000000, 10, 5, 1, 2100, 356628
1000000, 10, 5, 1, 2100, 357834
1000000, 10, 5, 1, 2100, 358931
1000000, 10, 5, 1, 2100, 355548
1000000, 10, 5, 1, 2100, 355831
1000000, 10, 5, 1, 2100, 355537
1000000, 10, 5, 1, 2100, 355695
1000000, 10, 5, 1, 2100, 357274
1000000, 10, 5, 1, 2100, 357538
1000000, 10, 5, 1, 2100, 355587
1000000, 10, 5, 1, 2100, 356527
1000000, 10, 5, 1, 2100, 355461
1000000, 10, 5, 1, 2100, 355475
1000000, 10, 5, 1, 2100, 355017
1000000, 10, 5, 1, 2100, 354631
1000000, 10, 5, 1, 2100, 356326
1000000, 10, 5, 1, 2100, 354375
1000000, 10, 5, 1, 2100, 357580
1000000, 10, 5, 1, 2100, 355038
1000000, 10, 5, 1, 2100, 359333
1000000, 10, 5, 1, 2100, 354689
1000000, 10, 5, 1, 2100, 354981
1000000, 10, 5, 1, 2100, 356055
1000000, 10, 5, 1, 2100, 355648
1000000, 10, 5, 1, 2100, 356111
1000000, 10, 5, 1, 2200, 394969
1000000, 10, 5, 1, 2200, 393637
1000000, 10, 5, 1, 2200, 391967
1000000, 10, 5, 1, 2200, 392634
1000000, 10, 5, 1, 2200, 392883
1000000, 10, 5, 1, 2200, 394882
1000000, 10, 5, 1, 2200, 392272
1000000, 10, 5, 1, 2200, 393150
1000000, 10, 5, 1, 2200, 394494
1000000, 10, 5, 1, 2200, 393563
1000000, 10, 5, 1, 2200, 391903
1000000, 10, 5, 1, 2200, 394313
1000000, 10, 5, 1, 2200, 392109
1000000, 10, 5, 1, 2200, 394166
1000000, 10, 5, 1, 2200, 391679
1000000, 10, 5, 1, 2200, 391614
1000000, 10, 5, 1, 2200, 394181
1000000, 10, 5, 1, 2200, 393320
1000000, 10, 5, 1, 2200, 393541
1000000, 10, 5, 1, 2200, 395927
1000000, 10, 5, 1, 2200, 394046
1000000, 10, 5, 1, 2200, 392928
1000000, 10, 5, 1, 2200, 393694
1000000, 10, 5, 1, 2200, 392585
1000000, 10, 5, 1, 2200, 392904
1000000, 10, 5, 1, 2200, 394584
1000000, 10, 5, 1, 2200, 395197
1000000, 10, 5, 1, 2200, 393822
1000000, 10, 5, 1, 2200, 392619
1000000, 10, 5, 1, 2200, 390659
1000000, 10, 5, 1, 2300, 427368
1000000, 10, 5, 1, 2300, 426633
1000000, 10, 5, 1, 2300, 426033
1000000, 10, 5, 1, 2300, 427550
1000000, 10, 5, 1, 2300, 427656
1000000, 10, 5, 1, 2300, 427648
1000000, 10, 5, 1, 2300, 425313
1000000, 10, 5, 1, 2300, 428595
1000000, 10, 5, 1, 2300, 426498
1000000, 10, 5, 1, 2300, 425928
1000000, 10, 5, 1, 2300, 427373
1000000, 10, 5, 1, 2300, 427604
1000000, 10, 5, 1, 2300, 427410
1000000, 10, 5, 1, 2300, 427273
1000000, 10, 5, 1, 2300, 427177
1000000, 10, 5, 1, 2300, 428563
1000000, 10, 5, 1, 2300, 426325
1000000, 10, 5, 1, 2300, 427863
1000000, 10, 5, 1, 2300, 427578
1000000, 10, 5, 1, 2300, 426274
