NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 50, 26, 1, 0.04, 4707
1000000, 50, 26, 1, 0.04, 2588
1000000, 50, 26, 1, 0.04, 31066
1000000, 50, 26, 1, 0.04, 12397
1000000, 50, 26, 1, 0.04, 1055
1000000, 50, 26, 1, 0.04, 6920
1000000, 50, 26, 1, 0.04, 22179
1000000, 50, 26, 1, 0.04, 2370
1000000, 50, 26, 1, 0.04, 22510
1000000, 50, 26, 1, 0.04, 1841
1000000, 50, 26, 1, 0.04, 16080
1000000, 50, 26, 1, 0.04, 24811
1000000, 50, 26, 1, 0.04, 18675
1000000, 50, 26, 1, 0.04, 3232
1000000, 50, 26, 1, 0.04, 1361
1000000, 50, 26, 1, 0.04, 7427
1000000, 50, 26, 1, 0.04, 12709
1000000, 50, 26, 1, 0.04, 11850
1000000, 50, 26, 1, 0.04, 21738
1000000, 50, 26, 1, 0.04, 19887
1000000, 50, 26, 1, 0.04, 7508
1000000, 50, 26, 1, 0.04, 1300
1000000, 50, 26, 1, 0.04, 20523
1000000, 50, 26, 1, 0.04, 20433
1000000, 50, 26, 1, 0.04, 7723
1000000, 50, 26, 1, 0.04, 1667
1000000, 50, 26, 1, 0.04, 14879
1000000, 50, 26, 1, 0.04, 14388
1000000, 50, 26, 1, 0.04, 1224
1000000, 50, 26, 1, 0.04, 1683
1000000, 50, 26, 1, 0.05, 401997
1000000, 50, 26, 1, 0.05, 402028
1000000, 50, 26, 1, 0.05, 402828
1000000, 50, 26, 1, 0.05, 400207
1000000, 50, 26, 1, 0.05, 399507
1000000, 50, 26, 1, 0.05, 402288
1000000, 50, 26, 1, 0.05, 401601
1000000, 50, 26, 1, 0.05, 400771
1000000, 50, 26, 1, 0.05, 401089
1000000, 50, 26, 1, 0.05, 398744
1000000, 50, 26, 1, 0.05, 400654
1000000, 50, 26, 1, 0.05, 399299
1000000, 50, 26, 1, 0.05, 398776
1000000, 50, 26, 1, 0.05, 400047
1000000, 50, 26, 1, 0.05, 401919
1000000, 50, 26, 1, 0.05, 402657
1000000, 50, 26, 1, 0.05, 402056
1000000, 50, 26, 1, 0.05, 401577
1000000, 50, 26, 1, 0.05, 403167
1000000, 50, 26, 1, 0.05, 397662
1000000, 50, 26, 1, 0.05, 397966
1000000, 50, 26, 1, 0.05, 402888
1000000, 50, 26, 1, 0.05, 402347
1000000, 50, 26, 1, 0.05, 403531
1000000, 50, 26, 1, 0.05, 404699
1000000, 50, 26, 1, 0.05, 400222
1000000, 50, 26, 1, 0.05, 405248
1000000, 50, 26, 1, 0.05, 404217
1000000, 50, 26, 1, 0.05, 398014
1000000, 50, 26, 1, 0.05, 401564
1000000, 50, 26, 1, 0.06, 612621
1000000, 50, 26, 1, 0.06, 613774
1000000, 50, 26, 1, 0.06, 612519
1000000, 50, 26, 1, 0.06, 614170
1000000, 50, 26, 1, 0.06, 613132
1000000, 50, 26, 1, 0.06, 611143
1000000, 50, 26, 1, 0.06, 610249
1000000, 50, 26, 1, 0.06, 611659
1000000, 50, 26, 1, 0.06, 615462
1000000, 50, 26, 1, 0.06, 613588
1000000, 50, 26, 1, 0.06, 612340
1000000, 50, 26, 1, 0.06, 611565
1000000, 50, 26, 1, 0.06, 613047
1000000, 50, 26, 1, 0.06, 612489
1000000, 50, 26, 1, 0.06, 615388
1000000, 50, 26, 1, 0.06, 613116
1000000, 50, 26, 1, 0.06, 614463
