,NumNodes,GroupSize,AvgDeg,InfectionProbability,NumInfected
0,1000000,10,5,0.0,1
1,1000000,10,5,0.0,1
2,1000000,10,5,0.0,1
3,1000000,10,5,0.0,1
4,1000000,10,5,0.0,1
5,1000000,10,5,0.0,1
6,1000000,10,5,0.0,1
7,1000000,10,5,0.0,1
8,1000000,10,5,0.0,1
9,1000000,10,5,0.0,1
10,1000000,10,5,0.0,1
11,1000000,10,5,0.0,1
12,1000000,10,5,0.0,1
13,1000000,10,5,0.0,1
14,1000000,10,5,0.0,1
15,1000000,10,5,0.0,1
16,1000000,10,5,0.0,1
17,1000000,10,5,0.0,1
18,1000000,10,5,0.0,1
19,1000000,10,5,0.0,1
20,1000000,10,5,0.0,1
21,1000000,10,5,0.0,1
22,1000000,10,5,0.0,1
23,1000000,10,5,0.0,1
24,1000000,10,5,0.0,1
25,1000000,10,5,0.0,1
26,1000000,10,5,0.0,1
27,1000000,10,5,0.0,1
28,1000000,10,5,0.0,1
29,1000000,10,5,0.0,1
30,1000000,10,5,0.0,1
31,1000000,10,5,0.0,1
32,1000000,10,5,0.0,1
33,1000000,10,5,0.0,1
34,1000000,10,5,0.0,1
35,1000000,10,5,0.0,1
36,1000000,10,5,0.0,1
37,1000000,10,5,0.0,1
38,1000000,10,5,0.0,1
39,1000000,10,5,0.0,1
40,1000000,10,5,0.0,1
41,1000000,10,5,0.0,1
42,1000000,10,5,0.0,1
43,1000000,10,5,0.0,1
44,1000000,10,5,0.0,1
45,1000000,10,5,0.0,1
46,1000000,10,5,0.0,1
47,1000000,10,5,0.0,1
48,1000000,10,5,0.0,1
49,1000000,10,5,0.0,1
50,1000000,10,5,0.01,1
51,1000000,10,5,0.01,1
52,1000000,10,5,0.01,1
53,1000000,10,5,0.01,1
54,1000000,10,5,0.01,1
56,1000000,10,5,0.01,1
57,1000000,10,5,0.01,1
58,1000000,10,5,0.01,1
59,1000000,10,5,0.01,1
60,1000000,10,5,0.01,1
61,1000000,10,5,0.01,1
62,1000000,10,5,0.01,1
63,1000000,10,5,0.01,1
64,1000000,10,5,0.01,1
65,1000000,10,5,0.01,1
66,1000000,10,5,0.01,1
67,1000000,10,5,0.01,1
70,1000000,10,5,0.01,1
71,1000000,10,5,0.01,1
72,1000000,10,5,0.01,1
74,1000000,10,5,0.01,1
75,1000000,10,5,0.01,1
76,1000000,10,5,0.01,1
77,1000000,10,5,0.01,1
78,1000000,10,5,0.01,1
80,1000000,10,5,0.01,1
82,1000000,10,5,0.01,1
83,1000000,10,5,0.01,1
84,1000000,10,5,0.01,1
85,1000000,10,5,0.01,1
86,1000000,10,5,0.01,1
87,1000000,10,5,0.01,1
88,1000000,10,5,0.01,1
89,1000000,10,5,0.01,1
90,1000000,10,5,0.01,1
91,1000000,10,5,0.01,1
93,1000000,10,5,0.01,1
94,1000000,10,5,0.01,1
95,1000000,10,5,0.01,1
96,1000000,10,5,0.01,1
97,1000000,10,5,0.01,1
98,1000000,10,5,0.01,1
99,1000000,10,5,0.01,1
55,1000000,10,5,0.01,2
69,1000000,10,5,0.01,2
68,1000000,10,5,0.01,3
73,1000000,10,5,0.01,3
81,1000000,10,5,0.01,5
79,1000000,10,5,0.01,6
92,1000000,10,5,0.01,7
103,1000000,10,5,0.02,1
105,1000000,10,5,0.02,1
106,1000000,10,5,0.02,1
107,1000000,10,5,0.02,1
