NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 30, 16, 1, 200, 35
1000000, 30, 16, 1, 200, 48
1000000, 30, 16, 1, 200, 40
1000000, 30, 16, 1, 200, 51
1000000, 30, 16, 1, 200, 70
1000000, 30, 16, 1, 200, 114
1000000, 30, 16, 1, 200, 35
1000000, 30, 16, 1, 200, 36
1000000, 30, 16, 1, 200, 66
1000000, 30, 16, 1, 200, 50
1000000, 30, 16, 1, 200, 52
1000000, 30, 16, 1, 200, 31
1000000, 30, 16, 1, 200, 49
1000000, 30, 16, 1, 200, 47
1000000, 30, 16, 1, 200, 106
1000000, 30, 16, 1, 200, 31
1000000, 30, 16, 1, 200, 32
1000000, 30, 16, 1, 200, 103
1000000, 30, 16, 1, 200, 161
1000000, 30, 16, 1, 200, 107
1000000, 30, 16, 1, 200, 35
1000000, 30, 16, 1, 200, 35
1000000, 30, 16, 1, 200, 40
1000000, 30, 16, 1, 200, 114
1000000, 30, 16, 1, 200, 105
1000000, 30, 16, 1, 200, 69
1000000, 30, 16, 1, 200, 42
1000000, 30, 16, 1, 200, 77
1000000, 30, 16, 1, 200, 40
1000000, 30, 16, 1, 200, 284
1000000, 30, 16, 1, 300, 511272
1000000, 30, 16, 1, 300, 510439
1000000, 30, 16, 1, 300, 53
1000000, 30, 16, 1, 300, 512881
1000000, 30, 16, 1, 300, 38
1000000, 30, 16, 1, 300, 512185
1000000, 30, 16, 1, 300, 510299
1000000, 30, 16, 1, 300, 511401
1000000, 30, 16, 1, 300, 504553
1000000, 30, 16, 1, 300, 503277
1000000, 30, 16, 1, 300, 36
1000000, 30, 16, 1, 300, 512810
1000000, 30, 16, 1, 300, 509408
1000000, 30, 16, 1, 300, 510358
1000000, 30, 16, 1, 300, 510156
1000000, 30, 16, 1, 300, 509863
1000000, 30, 16, 1, 300, 509732
1000000, 30, 16, 1, 300, 510194
1000000, 30, 16, 1, 300, 74
1000000, 30, 16, 1, 300, 508650
1000000, 30, 16, 1, 300, 510394
1000000, 30, 16, 1, 300, 509012
1000000, 30, 16, 1, 300, 513244
1000000, 30, 16, 1, 300, 506908
1000000, 30, 16, 1, 300, 507621
1000000, 30, 16, 1, 300, 511619
1000000, 30, 16, 1, 300, 509208
1000000, 30, 16, 1, 300, 52
1000000, 30, 16, 1, 300, 509037
1000000, 30, 16, 1, 300, 511330
1000000, 30, 16, 1, 400, 794945
1000000, 30, 16, 1, 400, 796570
1000000, 30, 16, 1, 400, 797776
1000000, 30, 16, 1, 400, 795286
1000000, 30, 16, 1, 400, 796781
1000000, 30, 16, 1, 400, 795779
1000000, 30, 16, 1, 400, 795640
1000000, 30, 16, 1, 400, 795385
1000000, 30, 16, 1, 400, 795219
1000000, 30, 16, 1, 400, 796147
1000000, 30, 16, 1, 400, 795543
1000000, 30, 16, 1, 400, 794537
1000000, 30, 16, 1, 400, 794921
1000000, 30, 16, 1, 400, 793269
1000000, 30, 16, 1, 400, 793869
1000000, 30, 16, 1, 400, 793562
1000000, 30, 16, 1, 400, 796642
1000000, 30, 16, 1, 400, 793815
1000000, 30, 16, 1, 400, 797257
1000000, 30, 16, 1, 400, 795312
1000000, 30, 16, 1, 400, 793932
1000000, 30, 16, 1, 400, 796228
1000000, 30, 16, 1, 400, 798494
1000000, 30, 16, 1, 400, 793523
1000000, 30, 16, 1, 400, 793898
1000000, 30, 16, 1, 400, 795591
1000000, 30, 16, 1, 400, 793056
1000000, 30, 16, 1, 400, 795404
1000000, 30, 16, 1, 400, 796193
1000000, 30, 16, 1, 400, 30
1000000, 30, 16, 1, 500, 901404
1000000, 30, 16, 1, 500, 901891
1000000, 30, 16, 1, 500, 901468
1000000, 30, 16, 1, 500, 902267
1000000, 30, 16, 1, 500, 902442
1000000, 30, 16, 1, 500, 901212
1000000, 30, 16, 1, 500, 899556
1000000, 30, 16, 1, 500, 900279
1000000, 30, 16, 1, 500, 901240
1000000, 30, 16, 1, 500, 898146
1000000, 30, 16, 1, 500, 899841
1000000, 30, 16, 1, 500, 900849
1000000, 30, 16, 1, 500, 900554
1000000, 30, 16, 1, 500, 902438
1000000, 30, 16, 1, 500, 901684
1000000, 30, 16, 1, 500, 901863
1000000, 30, 16, 1, 500, 901230
1000000, 30, 16, 1, 500, 901217
1000000, 30, 16, 1, 500, 899167
1000000, 30, 16, 1, 500, 900668
1000000, 30, 16, 1, 500, 902334
1000000, 30, 16, 1, 500, 901272
1000000, 30, 16, 1, 500, 900283
1000000, 30, 16, 1, 500, 900869
1000000, 30, 16, 1, 500, 900298
1000000, 30, 16, 1, 500, 902405
1000000, 30, 16, 1, 500, 900579
1000000, 30, 16, 1, 500, 901420
1000000, 30, 16, 1, 500, 901347
1000000, 30, 16, 1, 500, 901786
1000000, 30, 16, 1, 600, 947046
1000000, 30, 16, 1, 600, 947770
1000000, 30, 16, 1, 600, 949016
1000000, 30, 16, 1, 600, 948273
1000000, 30, 16, 1, 600, 947216
1000000, 30, 16, 1, 600, 949310
1000000, 30, 16, 1, 600, 947136
1000000, 30, 16, 1, 600, 948019
1000000, 30, 16, 1, 600, 948339
1000000, 30, 16, 1, 600, 948591
1000000, 30, 16, 1, 600, 948388
1000000, 30, 16, 1, 600, 946622
1000000, 30, 16, 1, 600, 947667
1000000, 30, 16, 1, 600, 948295
1000000, 30, 16, 1, 600, 947748
1000000, 30, 16, 1, 600, 948870
1000000, 30, 16, 1, 600, 948040
1000000, 30, 16, 1, 600, 948016
1000000, 30, 16, 1, 600, 948159
1000000, 30, 16, 1, 600, 948927
1000000, 30, 16, 1, 600, 949317
1000000, 30, 16, 1, 600, 947975
1000000, 30, 16, 1, 600, 947674
1000000, 30, 16, 1, 600, 946898
1000000, 30, 16, 1, 600, 948606
1000000, 30, 16, 1, 600, 948805
1000000, 30, 16, 1, 600, 948205
1000000, 30, 16, 1, 600, 947959
1000000, 30, 16, 1, 600, 948726
1000000, 30, 16, 1, 600, 947551
1000000, 30, 16, 1, 700, 972442
1000000, 30, 16, 1, 700, 971403
1000000, 30, 16, 1, 700, 972070
1000000, 30, 16, 1, 700, 972238
1000000, 30, 16, 1, 700, 971376
1000000, 30, 16, 1, 700, 971050
1000000, 30, 16, 1, 700, 972604
1000000, 30, 16, 1, 700, 971426
1000000, 30, 16, 1, 700, 971841
1000000, 30, 16, 1, 700, 972163
1000000, 30, 16, 1, 700, 971641
1000000, 30, 16, 1, 700, 30
1000000, 30, 16, 1, 700, 972281
1000000, 30, 16, 1, 700, 971305
1000000, 30, 16, 1, 700, 31
1000000, 30, 16, 1, 700, 971795
1000000, 30, 16, 1, 700, 971088
1000000, 30, 16, 1, 700, 971720
1000000, 30, 16, 1, 700, 971380
1000000, 30, 16, 1, 700, 971471
1000000, 30, 16, 1, 700, 971968
1000000, 30, 16, 1, 700, 971766
1000000, 30, 16, 1, 700, 970419
1000000, 30, 16, 1, 700, 971680
1000000, 30, 16, 1, 700, 971393
1000000, 30, 16, 1, 700, 971096
1000000, 30, 16, 1, 700, 971299
1000000, 30, 16, 1, 700, 971907
1000000, 30, 16, 1, 700, 971813
1000000, 30, 16, 1, 700, 972220
1000000, 30, 16, 1, 800, 983733
1000000, 30, 16, 1, 800, 984600
1000000, 30, 16, 1, 800, 983675
1000000, 30, 16, 1, 800, 983895
1000000, 30, 16, 1, 800, 983483
1000000, 30, 16, 1, 800, 983182
1000000, 30, 16, 1, 800, 983913
1000000, 30, 16, 1, 800, 983918
1000000, 30, 16, 1, 800, 983544
1000000, 30, 16, 1, 800, 983519
1000000, 30, 16, 1, 800, 984185
1000000, 30, 16, 1, 800, 984333
1000000, 30, 16, 1, 800, 983747
1000000, 30, 16, 1, 800, 984827
1000000, 30, 16, 1, 800, 983578
1000000, 30, 16, 1, 800, 984085
1000000, 30, 16, 1, 800, 984412
1000000, 30, 16, 1, 800, 983339
1000000, 30, 16, 1, 800, 984200
1000000, 30, 16, 1, 800, 983826
1000000, 30, 16, 1, 800, 983700
1000000, 30, 16, 1, 800, 983801
1000000, 30, 16, 1, 800, 984063
1000000, 30, 16, 1, 800, 984166
1000000, 30, 16, 1, 800, 983916
1000000, 30, 16, 1, 800, 983735
1000000, 30, 16, 1, 800, 984578
1000000, 30, 16, 1, 800, 983685
1000000, 30, 16, 1, 800, 983184
1000000, 30, 16, 1, 800, 984291
1000000, 30, 16, 1, 900, 990387
1000000, 30, 16, 1, 900, 989983
1000000, 30, 16, 1, 900, 990528
1000000, 30, 16, 1, 900, 990789
1000000, 30, 16, 1, 900, 990111
1000000, 30, 16, 1, 900, 990623
1000000, 30, 16, 1, 900, 990918
1000000, 30, 16, 1, 900, 990612
1000000, 30, 16, 1, 900, 990684
1000000, 30, 16, 1, 900, 990575
1000000, 30, 16, 1, 900, 990585
1000000, 30, 16, 1, 900, 990300
1000000, 30, 16, 1, 900, 990507
1000000, 30, 16, 1, 900, 990605
1000000, 30, 16, 1, 900, 991018
1000000, 30, 16, 1, 900, 990923
1000000, 30, 16, 1, 900, 990781
1000000, 30, 16, 1, 900, 991096
1000000, 30, 16, 1, 900, 989974
1000000, 30, 16, 1, 900, 990812
1000000, 30, 16, 1, 900, 990904
1000000, 30, 16, 1, 900, 990001
1000000, 30, 16, 1, 900, 990275
1000000, 30, 16, 1, 900, 990333
1000000, 30, 16, 1, 900, 990451
1000000, 30, 16, 1, 900, 990783
1000000, 30, 16, 1, 900, 990835
1000000, 30, 16, 1, 900, 991155
1000000, 30, 16, 1, 900, 990957
1000000, 30, 16, 1, 900, 989971
1000000, 30, 16, 1, 1000, 994166
1000000, 30, 16, 1, 1000, 995066
1000000, 30, 16, 1, 1000, 994679
1000000, 30, 16, 1, 1000, 994653
1000000, 30, 16, 1, 1000, 993881
1000000, 30, 16, 1, 1000, 993933
1000000, 30, 16, 1, 1000, 994166
1000000, 30, 16, 1, 1000, 994352
1000000, 30, 16, 1, 1000, 994458
1000000, 30, 16, 1, 1000, 994026
1000000, 30, 16, 1, 1000, 994606
1000000, 30, 16, 1, 1000, 994512
1000000, 30, 16, 1, 1000, 993952
1000000, 30, 16, 1, 1000, 994393
1000000, 30, 16, 1, 1000, 994973
1000000, 30, 16, 1, 1000, 994667
1000000, 30, 16, 1, 1000, 994569
1000000, 30, 16, 1, 1000, 994092
1000000, 30, 16, 1, 1000, 994185
1000000, 30, 16, 1, 1000, 994197
1000000, 30, 16, 1, 1000, 994682
1000000, 30, 16, 1, 1000, 994265
1000000, 30, 16, 1, 1000, 994604
1000000, 30, 16, 1, 1000, 994159
1000000, 30, 16, 1, 1000, 994326
1000000, 30, 16, 1, 1000, 994809
1000000, 30, 16, 1, 1000, 994382
1000000, 30, 16, 1, 1000, 994899
1000000, 30, 16, 1, 1000, 994085
1000000, 30, 16, 1, 1000, 994511
1000000, 30, 16, 1, 1100, 996267
1000000, 30, 16, 1, 1100, 996942
1000000, 30, 16, 1, 1100, 996823
1000000, 30, 16, 1, 1100, 996665
1000000, 30, 16, 1, 1100, 996439
1000000, 30, 16, 1, 1100, 996266
1000000, 30, 16, 1, 1100, 996512
1000000, 30, 16, 1, 1100, 996393
1000000, 30, 16, 1, 1100, 996469
1000000, 30, 16, 1, 1100, 996284
1000000, 30, 16, 1, 1100, 996637
1000000, 30, 16, 1, 1100, 997036
1000000, 30, 16, 1, 1100, 996420
1000000, 30, 16, 1, 1100, 996525
1000000, 30, 16, 1, 1100, 996980
1000000, 30, 16, 1, 1100, 997141
1000000, 30, 16, 1, 1100, 996346
1000000, 30, 16, 1, 1100, 996635
1000000, 30, 16, 1, 1100, 996726
1000000, 30, 16, 1, 1100, 996584
