NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 0, 1
1000000, 0, 20, 100, 4
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 4
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 100, 3
1000000, 0, 20, 200, 4
1000000, 0, 20, 200, 4
1000000, 0, 20, 200, 3
1000000, 0, 20, 200, 4
1000000, 0, 20, 200, 4
1000000, 0, 20, 200, 3
1000000, 0, 20, 200, 4
1000000, 0, 20, 200, 3
1000000, 0, 20, 200, 3
1000000, 0, 20, 200, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 3
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 300, 4
1000000, 0, 20, 400, 4
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 6
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 4
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 5
1000000, 0, 20, 400, 4
1000000, 0, 20, 500, 6
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 6
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 5
1000000, 0, 20, 500, 6
1000000, 0, 20, 500, 5
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 5
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 600, 6
1000000, 0, 20, 700, 7
1000000, 0, 20, 700, 7
1000000, 0, 20, 700, 6
1000000, 0, 20, 700, 7
1000000, 0, 20, 700, 8
1000000, 0, 20, 700, 8
1000000, 0, 20, 700, 8
1000000, 0, 20, 700, 7
1000000, 0, 20, 700, 6
1000000, 0, 20, 700, 7
1000000, 0, 20, 800, 9
1000000, 0, 20, 800, 10
1000000, 0, 20, 800, 10
1000000, 0, 20, 800, 8
1000000, 0, 20, 800, 9
1000000, 0, 20, 800, 8
1000000, 0, 20, 800, 8
1000000, 0, 20, 800, 8
1000000, 0, 20, 800, 11
1000000, 0, 20, 800, 7
1000000, 0, 20, 900, 11
1000000, 0, 20, 900, 10
1000000, 0, 20, 900, 10
1000000, 0, 20, 900, 9
1000000, 0, 20, 900, 8
1000000, 0, 20, 900, 9
1000000, 0, 20, 900, 8
1000000, 0, 20, 900, 9
1000000, 0, 20, 900, 9
1000000, 0, 20, 900, 10
1000000, 0, 20, 1000, 11
1000000, 0, 20, 1000, 10
1000000, 0, 20, 1000, 14
1000000, 0, 20, 1000, 11
1000000, 0, 20, 1000, 10
1000000, 0, 20, 1000, 13
1000000, 0, 20, 1000, 14
1000000, 0, 20, 1000, 10
1000000, 0, 20, 1000, 12
1000000, 0, 20, 1000, 11
1000000, 0, 20, 1100, 14
1000000, 0, 20, 1100, 15
1000000, 0, 20, 1100, 12
1000000, 0, 20, 1100, 12
1000000, 0, 20, 1100, 15
1000000, 0, 20, 1100, 13
1000000, 0, 20, 1100, 11
