NumNodes,GroupSize,AvgDeg,NumSeeds,InfRate,NumInfected
1000000, 10, 5, 1, 0.12, 1048
1000000, 10, 5, 1, 0.12, 1389
1000000, 10, 5, 1, 0.12, 3175
1000000, 10, 5, 1, 0.12, 1080
1000000, 10, 5, 1, 0.12, 1748
1000000, 10, 5, 1, 0.12, 1325
1000000, 10, 5, 1, 0.13, 58044
1000000, 10, 5, 1, 0.13, 57725
1000000, 10, 5, 1, 0.13, 45984
1000000, 10, 5, 1, 0.13, 57952
1000000, 10, 5, 1, 0.13, 52284
1000000, 10, 5, 1, 0.13, 51862
1000000, 10, 5, 1, 0.13, 54046
1000000, 10, 5, 1, 0.13, 58382
1000000, 10, 5, 1, 0.13, 54120
1000000, 10, 5, 1, 0.13, 59357
1000000, 10, 5, 1, 0.13, 61258
1000000, 10, 5, 1, 0.13, 50292
1000000, 10, 5, 1, 0.13, 62434
1000000, 10, 5, 1, 0.13, 57203
1000000, 10, 5, 1, 0.13, 46542
1000000, 10, 5, 1, 0.13, 58881
1000000, 10, 5, 1, 0.13, 1582
1000000, 10, 5, 1, 0.13, 1061
1000000, 10, 5, 1, 0.13, 58453
1000000, 10, 5, 1, 0.13, 57978
1000000, 10, 5, 1, 0.13, 58548
1000000, 10, 5, 1, 0.13, 60779
1000000, 10, 5, 1, 0.13, 56367
1000000, 10, 5, 1, 0.13, 50973
1000000, 10, 5, 1, 0.13, 51578
1000000, 10, 5, 1, 0.13, 58514
1000000, 10, 5, 1, 0.13, 52716
1000000, 10, 5, 1, 0.13, 61920
1000000, 10, 5, 1, 0.13, 48892
1000000, 10, 5, 1, 0.13, 49499
1000000, 10, 5, 1, 0.14, 123362
1000000, 10, 5, 1, 0.14, 123589
1000000, 10, 5, 1, 0.14, 119260
1000000, 10, 5, 1, 0.14, 120212
1000000, 10, 5, 1, 0.14, 122195
1000000, 10, 5, 1, 0.14, 122460
1000000, 10, 5, 1, 0.14, 123112
1000000, 10, 5, 1, 0.14, 120467
1000000, 10, 5, 1, 0.14, 120586
1000000, 10, 5, 1, 0.14, 123714
1000000, 10, 5, 1, 0.14, 126299
1000000, 10, 5, 1, 0.14, 121208
1000000, 10, 5, 1, 0.14, 119538
1000000, 10, 5, 1, 0.14, 116758
1000000, 10, 5, 1, 0.14, 122388
1000000, 10, 5, 1, 0.14, 121620
1000000, 10, 5, 1, 0.14, 120734
1000000, 10, 5, 1, 0.14, 122167
1000000, 10, 5, 1, 0.14, 123143
1000000, 10, 5, 1, 0.14, 121000
1000000, 10, 5, 1, 0.14, 121928
1000000, 10, 5, 1, 0.14, 125079
1000000, 10, 5, 1, 0.14, 126638
1000000, 10, 5, 1, 0.14, 119921
1000000, 10, 5, 1, 0.14, 120531
1000000, 10, 5, 1, 0.14, 122134
1000000, 10, 5, 1, 0.14, 124489
1000000, 10, 5, 1, 0.14, 119847
1000000, 10, 5, 1, 0.14, 123555
1000000, 10, 5, 1, 0.14, 124240
1000000, 10, 5, 1, 0.15, 179917
1000000, 10, 5, 1, 0.15, 179762
1000000, 10, 5, 1, 0.15, 178943
1000000, 10, 5, 1, 0.15, 177862
1000000, 10, 5, 1, 0.15, 180303
1000000, 10, 5, 1, 0.15, 177976
1000000, 10, 5, 1, 0.15, 179507
1000000, 10, 5, 1, 0.15, 180525
1000000, 10, 5, 1, 0.15, 178760
1000000, 10, 5, 1, 0.15, 180870
1000000, 10, 5, 1, 0.15, 175446
1000000, 10, 5, 1, 0.15, 178560
1000000, 10, 5, 1, 0.15, 179849
1000000, 10, 5, 1, 0.15, 178799
1000000, 10, 5, 1, 0.15, 180403
1000000, 10, 5, 1, 0.15, 179995
1000000, 10, 5, 1, 0.15, 179115
1000000, 10, 5, 1, 0.15, 181036
1000000, 10, 5, 1, 0.15, 179038
1000000, 10, 5, 1, 0.15, 178245
1000000, 10, 5, 1, 0.15, 178551
1000000, 10, 5, 1, 0.15, 178705
1000000, 10, 5, 1, 0.15, 180675
1000000, 10, 5, 1, 0.15, 181999
1000000, 10, 5, 1, 0.15, 180434
1000000, 10, 5, 1, 0.15, 180285
1000000, 10, 5, 1, 0.15, 176996
1000000, 10, 5, 1, 0.15, 178177
1000000, 10, 5, 1, 0.15, 181147
1000000, 10, 5, 1, 0.15, 179757
1000000, 10, 5, 1, 0.16, 228080
1000000, 10, 5, 1, 0.16, 231070
1000000, 10, 5, 1, 0.16, 229168
1000000, 10, 5, 1, 0.16, 226171
1000000, 10, 5, 1, 0.16, 228917
1000000, 10, 5, 1, 0.16, 228775
1000000, 10, 5, 1, 0.16, 229127
1000000, 10, 5, 1, 0.16, 228846
1000000, 10, 5, 1, 0.16, 231401
1000000, 10, 5, 1, 0.16, 226949
1000000, 10, 5, 1, 0.16, 228422
1000000, 10, 5, 1, 0.16, 229334
1000000, 10, 5, 1, 0.16, 225814
1000000, 10, 5, 1, 0.16, 225802
1000000, 10, 5, 1, 0.16, 226928
1000000, 10, 5, 1, 0.16, 233863
1000000, 10, 5, 1, 0.16, 229190
1000000, 10, 5, 1, 0.16, 226790
1000000, 10, 5, 1, 0.16, 233186
1000000, 10, 5, 1, 0.16, 228585
1000000, 10, 5, 1, 0.16, 227255
1000000, 10, 5, 1, 0.16, 228764
1000000, 10, 5, 1, 0.16, 230408
1000000, 10, 5, 1, 0.16, 229451
1000000, 10, 5, 1, 0.16, 227690
1000000, 10, 5, 1, 0.16, 225922
1000000, 10, 5, 1, 0.16, 226114
1000000, 10, 5, 1, 0.16, 228592
1000000, 10, 5, 1, 0.16, 228260
1000000, 10, 5, 1, 0.16, 225244
1000000, 10, 5, 1, 0.17, 270739
1000000, 10, 5, 1, 0.17, 271803
1000000, 10, 5, 1, 0.17, 271108
1000000, 10, 5, 1, 0.17, 270106
1000000, 10, 5, 1, 0.17, 268813
1000000, 10, 5, 1, 0.17, 272190
1000000, 10, 5, 1, 0.17, 272922
1000000, 10, 5, 1, 0.17, 270385
1000000, 10, 5, 1, 0.17, 270884
1000000, 10, 5, 1, 0.17, 272553
1000000, 10, 5, 1, 0.17, 273476
1000000, 10, 5, 1, 0.17, 271456
1000000, 10, 5, 1, 0.17, 270496
1000000, 10, 5, 1, 0.17, 272594
1000000, 10, 5, 1, 0.17, 270412
1000000, 10, 5, 1, 0.17, 270875
1000000, 10, 5, 1, 0.17, 269534
1000000, 10, 5, 1, 0.17, 269751
1000000, 10, 5, 1, 0.17, 270000
1000000, 10, 5, 1, 0.17, 272008
1000000, 10, 5, 1, 0.17, 268591
1000000, 10, 5, 1, 0.17, 268489
1000000, 10, 5, 1, 0.17, 269998
1000000, 10, 5, 1, 0.17, 271234
1000000, 10, 5, 1, 0.17, 272129
1000000, 10, 5, 1, 0.17, 273468
1000000, 10, 5, 1, 0.17, 272481
1000000, 10, 5, 1, 0.17, 271052
1000000, 10, 5, 1, 0.17, 270065
1000000, 10, 5, 1, 0.17, 269652
1000000, 10, 5, 1, 0.18, 308709
1000000, 10, 5, 1, 0.18, 310135
1000000, 10, 5, 1, 0.18, 309426
1000000, 10, 5, 1, 0.18, 308181
1000000, 10, 5, 1, 0.18, 310875
1000000, 10, 5, 1, 0.18, 306019
1000000, 10, 5, 1, 0.18, 306272
1000000, 10, 5, 1, 0.18, 312343
1000000, 10, 5, 1, 0.18, 308892
1000000, 10, 5, 1, 0.18, 309673
1000000, 10, 5, 1, 0.18, 307123
1000000, 10, 5, 1, 0.18, 309979
1000000, 10, 5, 1, 0.18, 310128
1000000, 10, 5, 1, 0.18, 308872
1000000, 10, 5, 1, 0.18, 309856
1000000, 10, 5, 1, 0.18, 308470
1000000, 10, 5, 1, 0.18, 308761
1000000, 10, 5, 1, 0.18, 307531
1000000, 10, 5, 1, 0.18, 309249
1000000, 10, 5, 1, 0.18, 307632
1000000, 10, 5, 1, 0.18, 306821
1000000, 10, 5, 1, 0.18, 308760
1000000, 10, 5, 1, 0.18, 308634
1000000, 10, 5, 1, 0.18, 308727
1000000, 10, 5, 1, 0.18, 309507
1000000, 10, 5, 1, 0.18, 308230
1000000, 10, 5, 1, 0.18, 308080
1000000, 10, 5, 1, 0.18, 308129
1000000, 10, 5, 1, 0.18, 308953
1000000, 10, 5, 1, 0.18, 310202
1000000, 10, 5, 1, 0.19, 341497
1000000, 10, 5, 1, 0.19, 342892
1000000, 10, 5, 1, 0.19, 342187
1000000, 10, 5, 1, 0.19, 341285
1000000, 10, 5, 1, 0.19, 340691
1000000, 10, 5, 1, 0.19, 340805
1000000, 10, 5, 1, 0.19, 342760
1000000, 10, 5, 1, 0.19, 339936
1000000, 10, 5, 1, 0.19, 343299
1000000, 10, 5, 1, 0.19, 340467
1000000, 10, 5, 1, 0.19, 342319
1000000, 10, 5, 1, 0.19, 340232
1000000, 10, 5, 1, 0.19, 341544
1000000, 10, 5, 1, 0.19, 342203
1000000, 10, 5, 1, 0.19, 341231
1000000, 10, 5, 1, 0.19, 341273
1000000, 10, 5, 1, 0.19, 341809
1000000, 10, 5, 1, 0.19, 341737
1000000, 10, 5, 1, 0.19, 341728
1000000, 10, 5, 1, 0.19, 342018
1000000, 10, 5, 1, 0.19, 342291
1000000, 10, 5, 1, 0.19, 341695
1000000, 10, 5, 1, 0.19, 340846
1000000, 10, 5, 1, 0.19, 341071
1000000, 10, 5, 1, 0.19, 342355
1000000, 10, 5, 1, 0.19, 343476
1000000, 10, 5, 1, 0.19, 340425
1000000, 10, 5, 1, 0.19, 343933
1000000, 10, 5, 1, 0.19, 342997
1000000, 10, 5, 1, 0.19, 342092
1000000, 10, 5, 1, 0.2, 370377
1000000, 10, 5, 1, 0.2, 372808
1000000, 10, 5, 1, 0.2, 373132
1000000, 10, 5, 1, 0.2, 370758
1000000, 10, 5, 1, 0.2, 371490
1000000, 10, 5, 1, 0.2, 372068
1000000, 10, 5, 1, 0.2, 371654
1000000, 10, 5, 1, 0.2, 371768
1000000, 10, 5, 1, 0.2, 372545
1000000, 10, 5, 1, 0.2, 371574
1000000, 10, 5, 1, 0.2, 371540
1000000, 10, 5, 1, 0.2, 371230
1000000, 10, 5, 1, 0.2, 371829
1000000, 10, 5, 1, 0.2, 369785
1000000, 10, 5, 1, 0.2, 371054
1000000, 10, 5, 1, 0.2, 371854
1000000, 10, 5, 1, 0.2, 370567
1000000, 10, 5, 1, 0.2, 370351
1000000, 10, 5, 1, 0.2, 371217
1000000, 10, 5, 1, 0.2, 370321
1000000, 10, 5, 1, 0.2, 371030
1000000, 10, 5, 1, 0.2, 370763
1000000, 10, 5, 1, 0.2, 370269
1000000, 10, 5, 1, 0.2, 370371
1000000, 10, 5, 1, 0.2, 370335
1000000, 10, 5, 1, 0.2, 371033
1000000, 10, 5, 1, 0.2, 371341
1000000, 10, 5, 1, 0.2, 370673
1000000, 10, 5, 1, 0.2, 370006
1000000, 10, 5, 1, 0.2, 373849
1000000, 10, 5, 1, 0.21, 397403
1000000, 10, 5, 1, 0.21, 397073
1000000, 10, 5, 1, 0.21, 397489
1000000, 10, 5, 1, 0.21, 396967
1000000, 10, 5, 1, 0.21, 397567
1000000, 10, 5, 1, 0.21, 398253
1000000, 10, 5, 1, 0.21, 399425
1000000, 10, 5, 1, 0.21, 397291
1000000, 10, 5, 1, 0.21, 397925
1000000, 10, 5, 1, 0.21, 395969
1000000, 10, 5, 1, 0.21, 396655
1000000, 10, 5, 1, 0.21, 396616
1000000, 10, 5, 1, 0.21, 398440
1000000, 10, 5, 1, 0.21, 397388
1000000, 10, 5, 1, 0.21, 396553
1000000, 10, 5, 1, 0.21, 398247
1000000, 10, 5, 1, 0.21, 399142
1000000, 10, 5, 1, 0.21, 398005
1000000, 10, 5, 1, 0.21, 398173
1000000, 10, 5, 1, 0.21, 397410
1000000, 10, 5, 1, 0.21, 396400
1000000, 10, 5, 1, 0.21, 398698
1000000, 10, 5, 1, 0.21, 398984
1000000, 10, 5, 1, 0.21, 397238
1000000, 10, 5, 1, 0.21, 396527
1000000, 10, 5, 1, 0.21, 397192
1000000, 10, 5, 1, 0.21, 398705
1000000, 10, 5, 1, 0.21, 397693
1000000, 10, 5, 1, 0.21, 396593
1000000, 10, 5, 1, 0.21, 397139
1000000, 10, 5, 1, 0.22, 421361
1000000, 10, 5, 1, 0.22, 419955
1000000, 10, 5, 1, 0.22, 420460
1000000, 10, 5, 1, 0.22, 421041
1000000, 10, 5, 1, 0.22, 421345
1000000, 10, 5, 1, 0.22, 420781
1000000, 10, 5, 1, 0.22, 420705
1000000, 10, 5, 1, 0.22, 421268
1000000, 10, 5, 1, 0.22, 421821
1000000, 10, 5, 1, 0.22, 421439
1000000, 10, 5, 1, 0.22, 421367
1000000, 10, 5, 1, 0.22, 421574
1000000, 10, 5, 1, 0.22, 420150
1000000, 10, 5, 1, 0.22, 421352
1000000, 10, 5, 1, 0.22, 421446
1000000, 10, 5, 1, 0.22, 420425
1000000, 10, 5, 1, 0.22, 422178
1000000, 10, 5, 1, 0.22, 422528
1000000, 10, 5, 1, 0.22, 420817
1000000, 10, 5, 1, 0.22, 421161
1000000, 10, 5, 1, 0.22, 420701
1000000, 10, 5, 1, 0.22, 421544
1000000, 10, 5, 1, 0.22, 419411
1000000, 10, 5, 1, 0.22, 419949
1000000, 10, 5, 1, 0.22, 421171
1000000, 10, 5, 1, 0.22, 420144
1000000, 10, 5, 1, 0.22, 420420
1000000, 10, 5, 1, 0.22, 420836
1000000, 10, 5, 1, 0.22, 422266
1000000, 10, 5, 1, 0.22, 421217
1000000, 10, 5, 1, 0.23, 440932
1000000, 10, 5, 1, 0.23, 440677
1000000, 10, 5, 1, 0.23, 441930
1000000, 10, 5, 1, 0.23, 442979
1000000, 10, 5, 1, 0.23, 441877
1000000, 10, 5, 1, 0.23, 442057
1000000, 10, 5, 1, 0.23, 442307
1000000, 10, 5, 1, 0.23, 441558
1000000, 10, 5, 1, 0.23, 441390
1000000, 10, 5, 1, 0.23, 442021
1000000, 10, 5, 1, 0.23, 443428
1000000, 10, 5, 1, 0.23, 443040
1000000, 10, 5, 1, 0.23, 442366
1000000, 10, 5, 1, 0.23, 442232
1000000, 10, 5, 1, 0.23, 442917
1000000, 10, 5, 1, 0.23, 442646
1000000, 10, 5, 1, 0.23, 442181
1000000, 10, 5, 1, 0.23, 443095
1000000, 10, 5, 1, 0.23, 441355
1000000, 10, 5, 1, 0.23, 441413
1000000, 10, 5, 1, 0.23, 442737
1000000, 10, 5, 1, 0.23, 441131
1000000, 10, 5, 1, 0.23, 442987
1000000, 10, 5, 1, 0.23, 441368
1000000, 10, 5, 1, 0.23, 442726
1000000, 10, 5, 1, 0.23, 440669
1000000, 10, 5, 1, 0.23, 441406
1000000, 10, 5, 1, 0.23, 441153
1000000, 10, 5, 1, 0.23, 441817
1000000, 10, 5, 1, 0.23, 442610
1000000, 10, 5, 1, 0.24, 461476
1000000, 10, 5, 1, 0.24, 461853
1000000, 10, 5, 1, 0.24, 461319
1000000, 10, 5, 1, 0.24, 461142
1000000, 10, 5, 1, 0.24, 461457
1000000, 10, 5, 1, 0.24, 461388
1000000, 10, 5, 1, 0.24, 460656
1000000, 10, 5, 1, 0.24, 461369
1000000, 10, 5, 1, 0.24, 461269
1000000, 10, 5, 1, 0.24, 460994
1000000, 10, 5, 1, 0.24, 461677
1000000, 10, 5, 1, 0.24, 461021
1000000, 10, 5, 1, 0.24, 460937
1000000, 10, 5, 1, 0.24, 462207
1000000, 10, 5, 1, 0.24, 460499
1000000, 10, 5, 1, 0.24, 461020
1000000, 10, 5, 1, 0.24, 461038
1000000, 10, 5, 1, 0.24, 460327
1000000, 10, 5, 1, 0.24, 460769
1000000, 10, 5, 1, 0.24, 461762
1000000, 10, 5, 1, 0.24, 461581
1000000, 10, 5, 1, 0.24, 461343
1000000, 10, 5, 1, 0.24, 462370
1000000, 10, 5, 1, 0.24, 462403
1000000, 10, 5, 1, 0.24, 460747
1000000, 10, 5, 1, 0.24, 460931
1000000, 10, 5, 1, 0.24, 462399
1000000, 10, 5, 1, 0.24, 460220
1000000, 10, 5, 1, 0.24, 460998
1000000, 10, 5, 1, 0.24, 461234
1000000, 10, 5, 1, 0.25, 477995
1000000, 10, 5, 1, 0.25, 478377
1000000, 10, 5, 1, 0.25, 479389
1000000, 10, 5, 1, 0.25, 477662
1000000, 10, 5, 1, 0.25, 478739
1000000, 10, 5, 1, 0.25, 478355
1000000, 10, 5, 1, 0.25, 478323
1000000, 10, 5, 1, 0.25, 477395
1000000, 10, 5, 1, 0.25, 478684
1000000, 10, 5, 1, 0.25, 478019
1000000, 10, 5, 1, 0.25, 478596
1000000, 10, 5, 1, 0.25, 478079
1000000, 10, 5, 1, 0.25, 477984
1000000, 10, 5, 1, 0.25, 478092
1000000, 10, 5, 1, 0.25, 478498
1000000, 10, 5, 1, 0.25, 477458
1000000, 10, 5, 1, 0.25, 478493
1000000, 10, 5, 1, 0.25, 478455
1000000, 10, 5, 1, 0.25, 478310
1000000, 10, 5, 1, 0.25, 478844
1000000, 10, 5, 1, 0.25, 478006
1000000, 10, 5, 1, 0.25, 477618
1000000, 10, 5, 1, 0.25, 479114
1000000, 10, 5, 1, 0.25, 478650
1000000, 10, 5, 1, 0.25, 478116
1000000, 10, 5, 1, 0.25, 478968
1000000, 10, 5, 1, 0.25, 478752
1000000, 10, 5, 1, 0.25, 479733
1000000, 10, 5, 1, 0.25, 478079
1000000, 10, 5, 1, 0.25, 477787
1000000, 10, 5, 1, 0.26, 494076
1000000, 10, 5, 1, 0.26, 495722
1000000, 10, 5, 1, 0.26, 494266
1000000, 10, 5, 1, 0.26, 494244
1000000, 10, 5, 1, 0.26, 494383
1000000, 10, 5, 1, 0.26, 494348
1000000, 10, 5, 1, 0.26, 493932
1000000, 10, 5, 1, 0.26, 494107
1000000, 10, 5, 1, 0.26, 493811
1000000, 10, 5, 1, 0.26, 494108
1000000, 10, 5, 1, 0.26, 494158
1000000, 10, 5, 1, 0.26, 493425
1000000, 10, 5, 1, 0.26, 494641
1000000, 10, 5, 1, 0.26, 494343
1000000, 10, 5, 1, 0.26, 494429
1000000, 10, 5, 1, 0.26, 493972
1000000, 10, 5, 1, 0.26, 495058
1000000, 10, 5, 1, 0.26, 493340
1000000, 10, 5, 1, 0.26, 494166
1000000, 10, 5, 1, 0.26, 495326
1000000, 10, 5, 1, 0.26, 494328
1000000, 10, 5, 1, 0.26, 494347
1000000, 10, 5, 1, 0.26, 494194
1000000, 10, 5, 1, 0.26, 493319
1000000, 10, 5, 1, 0.26, 494009
1000000, 10, 5, 1, 0.26, 494164
