NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 0, 1
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 3
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 100, 2
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 200, 3
1000000, 0, 6, 300, 4
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 300, 3
1000000, 0, 6, 400, 3
1000000, 0, 6, 400, 4
1000000, 0, 6, 400, 3
1000000, 0, 6, 400, 4
1000000, 0, 6, 400, 4
1000000, 0, 6, 400, 3
1000000, 0, 6, 400, 3
1000000, 0, 6, 400, 4
1000000, 0, 6, 400, 4
1000000, 0, 6, 400, 3
1000000, 0, 6, 500, 3
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 3
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 3
1000000, 0, 6, 500, 4
1000000, 0, 6, 500, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 5
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 4
1000000, 0, 6, 600, 5
1000000, 0, 6, 600, 4
1000000, 0, 6, 700, 5
1000000, 0, 6, 700, 7
1000000, 0, 6, 700, 4
1000000, 0, 6, 700, 5
1000000, 0, 6, 700, 4
1000000, 0, 6, 700, 5
1000000, 0, 6, 700, 4
1000000, 0, 6, 700, 4
1000000, 0, 6, 700, 5
1000000, 0, 6, 700, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 4
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 5
1000000, 0, 6, 800, 4
1000000, 0, 6, 900, 6
1000000, 0, 6, 900, 6
1000000, 0, 6, 900, 5
1000000, 0, 6, 900, 5
1000000, 0, 6, 900, 5
1000000, 0, 6, 900, 6
1000000, 0, 6, 900, 6
1000000, 0, 6, 900, 5
1000000, 0, 6, 900, 5
1000000, 0, 6, 900, 6
1000000, 0, 6, 1000, 5
