NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 0, 1
1000000, 50, 10, 100, 8
1000000, 50, 10, 100, 11
1000000, 50, 10, 100, 6
1000000, 50, 10, 100, 7
1000000, 50, 10, 100, 8
1000000, 50, 10, 100, 6
1000000, 50, 10, 100, 6
1000000, 50, 10, 100, 7
1000000, 50, 10, 100, 8
1000000, 50, 10, 100, 8
1000000, 50, 10, 200, 13
1000000, 50, 10, 200, 12
1000000, 50, 10, 200, 10
1000000, 50, 10, 200, 13
1000000, 50, 10, 200, 10
1000000, 50, 10, 200, 12
1000000, 50, 10, 200, 10
1000000, 50, 10, 200, 11
1000000, 50, 10, 200, 10
1000000, 50, 10, 200, 11
1000000, 50, 10, 300, 14
1000000, 50, 10, 300, 14
1000000, 50, 10, 300, 15
1000000, 50, 10, 300, 19
1000000, 50, 10, 300, 16
1000000, 50, 10, 300, 17
1000000, 50, 10, 300, 15
1000000, 50, 10, 300, 18
1000000, 50, 10, 300, 13
1000000, 50, 10, 300, 16
1000000, 50, 10, 400, 22
1000000, 50, 10, 400, 21
1000000, 50, 10, 400, 22
1000000, 50, 10, 400, 21
1000000, 50, 10, 400, 20
1000000, 50, 10, 400, 25
1000000, 50, 10, 400, 21
1000000, 50, 10, 400, 24
1000000, 50, 10, 400, 23
1000000, 50, 10, 400, 22
1000000, 50, 10, 500, 33
1000000, 50, 10, 500, 39
1000000, 50, 10, 500, 32
1000000, 50, 10, 500, 28
1000000, 50, 10, 500, 30
1000000, 50, 10, 500, 43
1000000, 50, 10, 500, 35
1000000, 50, 10, 500, 40
1000000, 50, 10, 500, 37
1000000, 50, 10, 500, 29
1000000, 50, 10, 600, 46
1000000, 50, 10, 600, 61
1000000, 50, 10, 600, 41
1000000, 50, 10, 600, 38
1000000, 50, 10, 600, 51
1000000, 50, 10, 600, 56
1000000, 50, 10, 600, 48
1000000, 50, 10, 600, 47
1000000, 50, 10, 600, 43
1000000, 50, 10, 600, 44
1000000, 50, 10, 700, 72
1000000, 50, 10, 700, 74
1000000, 50, 10, 700, 57
1000000, 50, 10, 700, 67
1000000, 50, 10, 700, 59
1000000, 50, 10, 700, 73
1000000, 50, 10, 700, 69
1000000, 50, 10, 700, 66
1000000, 50, 10, 700, 96
1000000, 50, 10, 700, 59
1000000, 50, 10, 800, 127
1000000, 50, 10, 800, 111
1000000, 50, 10, 800, 150
1000000, 50, 10, 800, 141
1000000, 50, 10, 800, 141
1000000, 50, 10, 800, 133
1000000, 50, 10, 800, 133
1000000, 50, 10, 800, 136
1000000, 50, 10, 800, 131
1000000, 50, 10, 800, 111
1000000, 50, 10, 900, 405
1000000, 50, 10, 900, 327
1000000, 50, 10, 900, 226
1000000, 50, 10, 900, 319
1000000, 50, 10, 900, 309
1000000, 50, 10, 900, 337
1000000, 50, 10, 900, 375
1000000, 50, 10, 900, 313
1000000, 50, 10, 900, 398
1000000, 50, 10, 900, 282
1000000, 50, 10, 1000, 1489
1000000, 50, 10, 1000, 1197
1000000, 50, 10, 1000, 1302
1000000, 50, 10, 1000, 1732
1000000, 50, 10, 1000, 1275
1000000, 50, 10, 1000, 1511
1000000, 50, 10, 1000, 1319
1000000, 50, 10, 1000, 1284
1000000, 50, 10, 1000, 992
1000000, 50, 10, 1000, 1856
1000000, 50, 10, 1100, 121852
1000000, 50, 10, 1100, 105548
1000000, 50, 10, 1100, 100638
1000000, 50, 10, 1100, 105932
1000000, 50, 10, 1100, 119471
1000000, 50, 10, 1100, 114412
1000000, 50, 10, 1100, 116120
1000000, 50, 10, 1100, 113138
1000000, 50, 10, 1100, 124813
1000000, 50, 10, 1100, 118038
1000000, 50, 10, 1200, 281351
1000000, 50, 10, 1200, 270378
1000000, 50, 10, 1200, 273867
1000000, 50, 10, 1200, 270349
1000000, 50, 10, 1200, 271974
1000000, 50, 10, 1200, 273319
1000000, 50, 10, 1200, 265263
1000000, 50, 10, 1200, 272412
1000000, 50, 10, 1200, 270800
1000000, 50, 10, 1200, 272242
1000000, 50, 10, 1300, 393209
1000000, 50, 10, 1300, 396579
1000000, 50, 10, 1300, 392641
1000000, 50, 10, 1300, 396388
1000000, 50, 10, 1300, 396282
1000000, 50, 10, 1300, 393706
1000000, 50, 10, 1300, 394017
1000000, 50, 10, 1300, 398690
1000000, 50, 10, 1300, 397008
1000000, 50, 10, 1300, 395657
1000000, 50, 10, 1400, 493176
1000000, 50, 10, 1400, 494033
1000000, 50, 10, 1400, 494127
1000000, 50, 10, 1400, 498207
1000000, 50, 10, 1400, 492337
1000000, 50, 10, 1400, 495349
1000000, 50, 10, 1400, 496520
1000000, 50, 10, 1400, 495516
1000000, 50, 10, 1400, 495230
1000000, 50, 10, 1400, 496011
1000000, 50, 10, 1500, 575801
1000000, 50, 10, 1500, 573390
1000000, 50, 10, 1500, 577650
1000000, 50, 10, 1500, 572343
1000000, 50, 10, 1500, 575789
1000000, 50, 10, 1500, 573329
1000000, 50, 10, 1500, 573758
1000000, 50, 10, 1500, 572514
1000000, 50, 10, 1500, 572134
1000000, 50, 10, 1500, 574576
1000000, 50, 10, 1600, 639020
1000000, 50, 10, 1600, 638812
1000000, 50, 10, 1600, 637176
1000000, 50, 10, 1600, 637417
1000000, 50, 10, 1600, 640567
1000000, 50, 10, 1600, 639931
1000000, 50, 10, 1600, 637084
1000000, 50, 10, 1600, 639541
1000000, 50, 10, 1600, 638444
1000000, 50, 10, 1600, 638899
1000000, 50, 10, 1700, 692287
1000000, 50, 10, 1700, 693113
1000000, 50, 10, 1700, 693005
1000000, 50, 10, 1700, 691634
1000000, 50, 10, 1700, 693181
1000000, 50, 10, 1700, 692888
1000000, 50, 10, 1700, 691686
1000000, 50, 10, 1700, 692628
1000000, 50, 10, 1700, 694185
1000000, 50, 10, 1700, 691647
1000000, 50, 10, 1800, 737962
1000000, 50, 10, 1800, 736520
1000000, 50, 10, 1800, 736737
1000000, 50, 10, 1800, 735172
1000000, 50, 10, 1800, 737772
1000000, 50, 10, 1800, 737010
1000000, 50, 10, 1800, 734958
1000000, 50, 10, 1800, 738932
1000000, 50, 10, 1800, 737950
1000000, 50, 10, 1800, 736872
1000000, 50, 10, 1900, 773791
1000000, 50, 10, 1900, 775636
1000000, 50, 10, 1900, 774282
1000000, 50, 10, 1900, 773045
1000000, 50, 10, 1900, 774268
1000000, 50, 10, 1900, 772810
1000000, 50, 10, 1900, 773442
1000000, 50, 10, 1900, 775240
1000000, 50, 10, 1900, 772975
1000000, 50, 10, 1900, 773971
1000000, 50, 10, 2000, 805051
1000000, 50, 10, 2000, 805208
1000000, 50, 10, 2000, 805652
1000000, 50, 10, 2000, 804054
1000000, 50, 10, 2000, 804417
1000000, 50, 10, 2000, 805567
1000000, 50, 10, 2000, 805615
1000000, 50, 10, 2000, 805535
1000000, 50, 10, 2000, 805669
1000000, 50, 10, 2000, 805359
1000000, 50, 10, 2100, 831796
1000000, 50, 10, 2100, 832057
1000000, 50, 10, 2100, 831309
1000000, 50, 10, 2100, 831398
1000000, 50, 10, 2100, 831202
1000000, 50, 10, 2100, 831863
1000000, 50, 10, 2100, 832682
1000000, 50, 10, 2100, 832010
1000000, 50, 10, 2100, 832253
1000000, 50, 10, 2100, 830983
1000000, 50, 10, 2200, 856181
1000000, 50, 10, 2200, 853315
1000000, 50, 10, 2200, 854850
1000000, 50, 10, 2200, 854559
1000000, 50, 10, 2200, 854525
1000000, 50, 10, 2200, 854873
1000000, 50, 10, 2200, 854632
1000000, 50, 10, 2200, 853805
1000000, 50, 10, 2200, 853799
1000000, 50, 10, 2200, 854397
1000000, 50, 10, 2300, 873573
1000000, 50, 10, 2300, 873402
1000000, 50, 10, 2300, 873553
1000000, 50, 10, 2300, 873449
1000000, 50, 10, 2300, 873281
1000000, 50, 10, 2300, 873658
1000000, 50, 10, 2300, 873682
1000000, 50, 10, 2300, 873918
1000000, 50, 10, 2300, 873425
1000000, 50, 10, 2300, 874151
1000000, 50, 10, 2400, 890255
1000000, 50, 10, 2400, 889303
1000000, 50, 10, 2400, 890162
1000000, 50, 10, 2400, 889396
1000000, 50, 10, 2400, 890404
1000000, 50, 10, 2400, 889793
1000000, 50, 10, 2400, 889756
1000000, 50, 10, 2400, 889646
1000000, 50, 10, 2400, 891025
1000000, 50, 10, 2400, 890024
1000000, 50, 10, 2500, 903922
1000000, 50, 10, 2500, 903620
1000000, 50, 10, 2500, 904698
1000000, 50, 10, 2500, 904438
1000000, 50, 10, 2500, 903806
1000000, 50, 10, 2500, 904066
1000000, 50, 10, 2500, 903716
1000000, 50, 10, 2500, 903341
1000000, 50, 10, 2500, 903934
1000000, 50, 10, 2500, 904288
1000000, 50, 10, 2600, 916082
1000000, 50, 10, 2600, 916187
1000000, 50, 10, 2600, 916131
1000000, 50, 10, 2600, 916278
1000000, 50, 10, 2600, 916544
1000000, 50, 10, 2600, 916364
1000000, 50, 10, 2600, 916332
1000000, 50, 10, 2600, 915771
1000000, 50, 10, 2600, 915623
1000000, 50, 10, 2600, 916508
1000000, 50, 10, 2700, 926385
1000000, 50, 10, 2700, 927138
1000000, 50, 10, 2700, 926921
1000000, 50, 10, 2700, 927001
1000000, 50, 10, 2700, 926945
1000000, 50, 10, 2700, 927012
1000000, 50, 10, 2700, 926907
1000000, 50, 10, 2700, 926829
1000000, 50, 10, 2700, 926863
1000000, 50, 10, 2700, 926512
1000000, 50, 10, 2800, 936085
1000000, 50, 10, 2800, 935759
1000000, 50, 10, 2800, 936117
1000000, 50, 10, 2800, 935320
1000000, 50, 10, 2800, 936339
1000000, 50, 10, 2800, 935252
1000000, 50, 10, 2800, 935755
1000000, 50, 10, 2800, 935843
1000000, 50, 10, 2800, 935554
1000000, 50, 10, 2800, 935656
1000000, 50, 10, 2900, 943748
1000000, 50, 10, 2900, 943993
1000000, 50, 10, 2900, 943966
1000000, 50, 10, 2900, 944301
1000000, 50, 10, 2900, 943482
1000000, 50, 10, 2900, 943857
1000000, 50, 10, 2900, 943940
1000000, 50, 10, 2900, 943565
1000000, 50, 10, 2900, 943705
1000000, 50, 10, 2900, 943904
1000000, 50, 10, 3000, 950540
1000000, 50, 10, 3000, 950768
1000000, 50, 10, 3000, 950416
1000000, 50, 10, 3000, 951169
1000000, 50, 10, 3000, 950830
1000000, 50, 10, 3000, 951106
1000000, 50, 10, 3000, 950290
1000000, 50, 10, 3000, 950455
1000000, 50, 10, 3000, 951258
1000000, 50, 10, 3000, 950499
1000000, 50, 10, 3100, 956767
1000000, 50, 10, 3100, 956395
1000000, 50, 10, 3100, 957139
1000000, 50, 10, 3100, 956957
1000000, 50, 10, 3100, 957003
1000000, 50, 10, 3100, 956401
1000000, 50, 10, 3100, 956708
1000000, 50, 10, 3100, 956539
1000000, 50, 10, 3100, 956732
1000000, 50, 10, 3100, 956681
1000000, 50, 10, 3200, 962302
1000000, 50, 10, 3200, 962445
