NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 0, 1
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 8
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 6
1000000, 10, 5, 100, 7
1000000, 10, 5, 100, 8
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 11
1000000, 10, 5, 200, 11
1000000, 10, 5, 200, 11
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 10
1000000, 10, 5, 200, 11
1000000, 10, 5, 200, 11
1000000, 10, 5, 300, 15
1000000, 10, 5, 300, 18
1000000, 10, 5, 300, 19
1000000, 10, 5, 300, 15
1000000, 10, 5, 300, 17
1000000, 10, 5, 300, 17
1000000, 10, 5, 300, 18
1000000, 10, 5, 300, 14
1000000, 10, 5, 300, 15
1000000, 10, 5, 300, 18
1000000, 10, 5, 400, 26
1000000, 10, 5, 400, 25
1000000, 10, 5, 400, 24
1000000, 10, 5, 400, 22
1000000, 10, 5, 400, 26
1000000, 10, 5, 400, 21
1000000, 10, 5, 400, 25
1000000, 10, 5, 400, 26
1000000, 10, 5, 400, 24
1000000, 10, 5, 400, 20
1000000, 10, 5, 500, 35
1000000, 10, 5, 500, 33
1000000, 10, 5, 500, 29
1000000, 10, 5, 500, 37
1000000, 10, 5, 500, 31
1000000, 10, 5, 500, 34
1000000, 10, 5, 500, 38
1000000, 10, 5, 500, 41
1000000, 10, 5, 500, 31
1000000, 10, 5, 500, 29
1000000, 10, 5, 600, 42
1000000, 10, 5, 600, 51
1000000, 10, 5, 600, 58
1000000, 10, 5, 600, 56
1000000, 10, 5, 600, 55
1000000, 10, 5, 600, 50
1000000, 10, 5, 600, 53
1000000, 10, 5, 600, 44
1000000, 10, 5, 600, 50
1000000, 10, 5, 600, 65
1000000, 10, 5, 700, 78
1000000, 10, 5, 700, 103
1000000, 10, 5, 700, 127
1000000, 10, 5, 700, 84
1000000, 10, 5, 700, 90
1000000, 10, 5, 700, 92
1000000, 10, 5, 700, 88
1000000, 10, 5, 700, 76
1000000, 10, 5, 700, 108
1000000, 10, 5, 700, 111
1000000, 10, 5, 800, 160
1000000, 10, 5, 800, 186
1000000, 10, 5, 800, 190
1000000, 10, 5, 800, 231
1000000, 10, 5, 800, 154
1000000, 10, 5, 800, 135
1000000, 10, 5, 800, 200
1000000, 10, 5, 800, 159
1000000, 10, 5, 800, 146
1000000, 10, 5, 800, 162
1000000, 10, 5, 900, 313
1000000, 10, 5, 900, 753
1000000, 10, 5, 900, 289
1000000, 10, 5, 900, 442
1000000, 10, 5, 900, 329
1000000, 10, 5, 900, 270
1000000, 10, 5, 900, 388
1000000, 10, 5, 900, 250
1000000, 10, 5, 900, 309
1000000, 10, 5, 900, 351
1000000, 10, 5, 1000, 1203
1000000, 10, 5, 1000, 842
1000000, 10, 5, 1000, 1119
1000000, 10, 5, 1000, 688
1000000, 10, 5, 1000, 1693
1000000, 10, 5, 1000, 827
1000000, 10, 5, 1000, 1229
1000000, 10, 5, 1000, 953
1000000, 10, 5, 1000, 1636
1000000, 10, 5, 1000, 1263
1000000, 10, 5, 1100, 37747
1000000, 10, 5, 1100, 39429
1000000, 10, 5, 1100, 43308
1000000, 10, 5, 1100, 28827
1000000, 10, 5, 1100, 42624
1000000, 10, 5, 1100, 40523
1000000, 10, 5, 1100, 38010
1000000, 10, 5, 1100, 46962
1000000, 10, 5, 1100, 42114
1000000, 10, 5, 1100, 39975
1000000, 10, 5, 1200, 105795
1000000, 10, 5, 1200, 104943
1000000, 10, 5, 1200, 108740
1000000, 10, 5, 1200, 107475
1000000, 10, 5, 1200, 108077
1000000, 10, 5, 1200, 107341
1000000, 10, 5, 1200, 107034
1000000, 10, 5, 1200, 111165
1000000, 10, 5, 1200, 107397
1000000, 10, 5, 1200, 110610
1000000, 10, 5, 1300, 158915
1000000, 10, 5, 1300, 161563
1000000, 10, 5, 1300, 162401
1000000, 10, 5, 1300, 160101
1000000, 10, 5, 1300, 161416
1000000, 10, 5, 1300, 161278
1000000, 10, 5, 1300, 158779
1000000, 10, 5, 1300, 161123
1000000, 10, 5, 1300, 157345
1000000, 10, 5, 1300, 161994
1000000, 10, 5, 1400, 205392
1000000, 10, 5, 1400, 205217
1000000, 10, 5, 1400, 206387
1000000, 10, 5, 1400, 205408
1000000, 10, 5, 1400, 205937
1000000, 10, 5, 1400, 205996
1000000, 10, 5, 1400, 204934
1000000, 10, 5, 1400, 205481
1000000, 10, 5, 1400, 205582
1000000, 10, 5, 1400, 207628
1000000, 10, 5, 1500, 244396
1000000, 10, 5, 1500, 243980
1000000, 10, 5, 1500, 244611
1000000, 10, 5, 1500, 245960
1000000, 10, 5, 1500, 248187
1000000, 10, 5, 1500, 245070
1000000, 10, 5, 1500, 244931
1000000, 10, 5, 1500, 245227
1000000, 10, 5, 1500, 246718
1000000, 10, 5, 1500, 245213
1000000, 10, 5, 1600, 278016
1000000, 10, 5, 1600, 279222
1000000, 10, 5, 1600, 279226
1000000, 10, 5, 1600, 278555
1000000, 10, 5, 1600, 278304
1000000, 10, 5, 1600, 277823
1000000, 10, 5, 1600, 277901
1000000, 10, 5, 1600, 277218
1000000, 10, 5, 1600, 280294
1000000, 10, 5, 1600, 278415
1000000, 10, 5, 1700, 307266
1000000, 10, 5, 1700, 308399
1000000, 10, 5, 1700, 307518
1000000, 10, 5, 1700, 308366
1000000, 10, 5, 1700, 305361
1000000, 10, 5, 1700, 306902
1000000, 10, 5, 1700, 307319
1000000, 10, 5, 1700, 308133
1000000, 10, 5, 1700, 306799
1000000, 10, 5, 1700, 308504
1000000, 10, 5, 1800, 332189
1000000, 10, 5, 1800, 331162
1000000, 10, 5, 1800, 331177
1000000, 10, 5, 1800, 332113
1000000, 10, 5, 1800, 331201
1000000, 10, 5, 1800, 332533
1000000, 10, 5, 1800, 331797
1000000, 10, 5, 1800, 331262
1000000, 10, 5, 1800, 332300
1000000, 10, 5, 1800, 331567
1000000, 10, 5, 1900, 353834
1000000, 10, 5, 1900, 353780
1000000, 10, 5, 1900, 352526
1000000, 10, 5, 1900, 353768
1000000, 10, 5, 1900, 353017
1000000, 10, 5, 1900, 354016
1000000, 10, 5, 1900, 354172
1000000, 10, 5, 1900, 354273
1000000, 10, 5, 1900, 354480
1000000, 10, 5, 1900, 354550
1000000, 10, 5, 2000, 373492
1000000, 10, 5, 2000, 372714
1000000, 10, 5, 2000, 373755
1000000, 10, 5, 2000, 372059
1000000, 10, 5, 2000, 371739
1000000, 10, 5, 2000, 372279
1000000, 10, 5, 2000, 372350
1000000, 10, 5, 2000, 372154
1000000, 10, 5, 2000, 371662
1000000, 10, 5, 2000, 373110
1000000, 10, 5, 2100, 389807
1000000, 10, 5, 2100, 390064
1000000, 10, 5, 2100, 390255
1000000, 10, 5, 2100, 389397
1000000, 10, 5, 2100, 388893
1000000, 10, 5, 2100, 389101
1000000, 10, 5, 2100, 389421
1000000, 10, 5, 2100, 388813
1000000, 10, 5, 2100, 390247
1000000, 10, 5, 2100, 388354
1000000, 10, 5, 2200, 404391
1000000, 10, 5, 2200, 404222
1000000, 10, 5, 2200, 403749
1000000, 10, 5, 2200, 403890
1000000, 10, 5, 2200, 403533
1000000, 10, 5, 2200, 402567
1000000, 10, 5, 2200, 403919
1000000, 10, 5, 2200, 403420
1000000, 10, 5, 2200, 404088
1000000, 10, 5, 2200, 403457
1000000, 10, 5, 2300, 416203
1000000, 10, 5, 2300, 416582
1000000, 10, 5, 2300, 416421
1000000, 10, 5, 2300, 416147
1000000, 10, 5, 2300, 417036
1000000, 10, 5, 2300, 416113
1000000, 10, 5, 2300, 417010
1000000, 10, 5, 2300, 416365
1000000, 10, 5, 2300, 417745
1000000, 10, 5, 2300, 417118
1000000, 10, 5, 2400, 427559
1000000, 10, 5, 2400, 428624
1000000, 10, 5, 2400, 428169
1000000, 10, 5, 2400, 427988
1000000, 10, 5, 2400, 428183
1000000, 10, 5, 2400, 429070
1000000, 10, 5, 2400, 428141
1000000, 10, 5, 2400, 427811
1000000, 10, 5, 2400, 427811
1000000, 10, 5, 2400, 427918
1000000, 10, 5, 2500, 437996
