NumNodes,GroupSize,AvgDeg,InfRate,NumInfected
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 0, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 4
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 4
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 4
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 3
1000000, 30, 20, 100, 6
1000000, 30, 20, 100, 5
1000000, 30, 20, 100, 3
1000000, 30, 20, 200, 5
1000000, 30, 20, 200, 4
